Identifier,ground_truth,prediction,confidence,chosen_text,chosen_source
WM-1933-08-02-0008_43_Column-41-29,سهاج روڤ٢ تأماو اتو تاکوة مڠأڠکت,سهاج روي ب٢ تأامو اتوتا کورة مڠأڠکت,0.6570122257649185,سهاج روڤ٢ تأماو اتو تاکوة مڠأڠکت,GT
WM-1933-08-02-0006_30_Column-29-30,يڠترکنل بايک برسام٢ دڠن اورڠيڠ,يڠترکنل بايك برسام٢ دڠن اورڠيڠ,0.9617040816398882,يڠترکنل بايك برسام٢ دڠن اورڠيڠ,PRED
WM-1933-08-02-0008_46_Column-44-87,ساي اکن سمبوڠ ددالم ڤرکارا اين,ساي اکن سمبوڠ ددالم فرکاراين,0.8986353481742356,ساي اکن سمبوڠ ددالم ڤرکارا اين,GT
0001_warmal_19380105_0001_108,رواية ارتيڽ سسڠݢوهڽ اکو خاتم,رواية ارتيڽ سسڠوهڽ اکو خاتم ,0.871695980088327,رواية ارتيڽ سسڠݢوهڽ اکو خاتم,GT
WM-1933-08-02-0004_23_Column-22-58,صحابة٢ڽ يڠ کاي يڠ تيدق سکالي٢,سحابة٢ن يڠ کاي يڠ تيدق سکالي٢,0.9442734275301535,سحابة٢ن يڠ کاي يڠ تيدق سکالي٢,PRED
0010_warmal_19380527_0002_131,داره اکن برسيه دان کصيحاتن برتمبه,داره اکن برسيه دان کصيحاتن برتمه,0.8765181525686857,داره اکن برسيه دان کصيحاتن برتمبه,GT
UM-1963-08-24-08-31-Column-65-25,لاءوة دڠن هيليکوفتر، 7.15,لاوادة دنن هلسلکوفنتر 7.15,0.6100398216288433,لاءوة دڠن هيليکوفتر، 7.15,GT
0007_warmal_19380526_0001_62,جاڠن منيڤو سوک دجامه,جاڠن منيڤو سوك دجامه,0.9252093355706438,جاڠن منيڤو سوك دجامه,PRED
WM-1933-08-02-0007_42_Column-40-92,يڠساڠت مموجي انچيء عبد الجليل,يڠسڠت مموجي انچيء عبدالله,0.7475310350554439,يڠساڠت مموجي انچيء عبد الجليل,GT
WM-1933-08-02-0008_46_Column-44-46,يڠلاين دڠن ترڠ مڽبوتکن نام رسول,بڠلاين دڠن ترڠ ميبوتکن نام رسول,0.8760333112169679,يڠلاين دڠن ترڠ مڽبوتکن نام رسول,GT
UM-1963-08-14-04-26-Column-5-51,دفنوهي اوله هوتن بلنتارا، دان ساتوڽ٢ دأيره,D夫نهy awlhe هوتن بلنتارا. Dax satun ٢ اير.,0.5516947654951241,دفنوهي اوله هوتن بلنتارا، دان ساتوڽ٢ دأيره,GT
0008_warmal_19380526_0002_121,وقت، دان مڽوبر فڠتهوان بهاس.,وقت، دان مهوب فڠهوان بهاس,0.8550755733812924,وقت، دان مڽوبر فڠتهوان بهاس.,GT
UM-1963-08-16-01-13-Column-16-12,رعية برساتو سراوق برکات,مڠية برسا سراون بrzکات,0.5131424999961434,رعية برساتو سراوق برکات,GT
0005_warmal_19380420_0001_68,(131) لبه بايک سسئورڠ ايت تياد ممبوات,(131) لبه بايك سسؤورڠ ايت تياد ممبوات,0.891318550663293,(131) لبه بايک سسئورڠ ايت تياد ممبوات,GT
WM-1933-08-02-0007_41_Column-39-87,ساتو تڠݢوڠن سباڽق 100$ سڤاي,ساتو تڠکوڠن سباق $100 سفاي,0.7758898303971754,ساتو تڠݢوڠن سباڽق 100$ سڤاي,GT
WM-1933-08-02-0007_42_Column-40-82,يڠبايک ددائره کوالا ڤيله.,بڠبايك دسائره کوالا قيله,0.7640532438151747,يڠبايک ددائره کوالا ڤيله.,GT
0007_warmal_19380526_0001_84,عقل فيکرڽ ميريڠ سبله,عقل فيکرڤ ميريڠ سبله ,0.8372808320710183,عقل فيکرڽ ميريڠ سبله,GT
0005_warmal_19380420_0001_73,(133) کسوسهن دان کساکيتن ايت قضاء,(133) کسوسهن دان کساکيتن ايت قضاء,0.9509359148285419,(133) کسوسهن دان کساکيتن ايت قضاء,PRED
WM-1933-08-02-0005_29_Column-28-56,فيکران اورڠيڠ تياد هارڤن سهاج دان,فيکران اورڠيڠ تياد هارڤن سهاج دان,0.9453970541628371,فيکران اورڠيڠ تياد هارڤن سهاج دان,PRED
WM-1933-08-02-0006_35_Column-34-45,بݢيمان 10 تاهون دهولو. ڤراوباهن٢,مکيماك 10 تاهون دهولو. فراوباکن٢,0.7920101854266629,بݢيمان 10 تاهون دهولو. ڤراوباهن٢,GT
UM-1963-08-14-09-13-Column-14-0,فاسوقکن يڠ تله دکالهکن اوله, ناسيونال بڠ نه تالاکن اوله ,0.4224647379690219,فاسوقکن يڠ تله دکالهکن اوله,GT
UM-1963-08-24-09-7-Column-69-6,سيڠافورا هنتر,سيفورا هنتر,0.7201520332656797,سيڠافورا هنتر,GT
WM-1933-08-02-0003_19_Column-18-58,داڠکت سڤاي ممڠکو جواتن تڠکو,داڠکت سڤاي مڠکو جواتن تڠکو,0.9066111229843653,داڠکت سڤاي مڠکو جواتن تڠکو,PRED
UM-1963-08-17-07-17-Column-42-19,دأتس) تله مندافة اجازه بي.,(تله مدرفه اجازه),0.6096159306163093,دأتس) تله مندافة اجازه بي.,GT
WM-1933-08-02-0006_31_Column-30-50,ݢنجيل تتاڤي اکن منجاديکن سسئورڠ,کنجل تتافي اکن منجاديکن سستورڠ,0.8665083151241216,ݢنجيل تتاڤي اکن منجاديکن سسئورڠ,GT
WM-1933-08-02-0005_29_Column-28-3,فهم دان کليروان٢ دڠن تيدق اد,فهم دان اکليروان٢ دڠن تيدق اد,0.9436041096231025,فهم دان اکليروان٢ دڠن تيدق اد,PRED
UM-1963-08-17-10-17-Column-49-35,10.45 فاݢي اين دان ايسوق,10.45 فاکي اين دان اسون,0.8623924037573094,10.45 فاݢي اين دان ايسوق,GT
UM-1963-08-16-09-12-Column-29-5,فرتنديڠن سوکن يڠ باکل,فرڠتيلڠ سوكن نڠ باکل,0.7572826356144206,فرتنديڠن سوکن يڠ باکل,GT
0007_warmal_19380526_0001_57,ڽاموء سنونجم سام ممبيلا,بامو سنونجم سام ممبيلا,0.7166565149888712,ڽاموء سنونجم سام ممبيلا,GT
0002_warmal_19380105_0002_124,فرنيݢأن يڠ سماچم ايت اکن دجالنکن,فرنيݢأن يڠ سماݢم ايت اکن دجالنکن ,0.8958953830149655,فرنيݢأن يڠ سماچم ايت اکن دجالنکن,GT
0009_warmal_19380527_0001_42,ترباوا ݢاي عرب، تتافي کباڽقکن بلوم,ترباوا ݢاي عرب، تتافي کباڽقکن بلوم,0.9557111494942254,ترباوا ݢاي عرب، تتافي کباڽقکن بلوم,PRED
UM-1963-08-17-06-14-Column-40-9,اکن دمنتا,اکن دمنتا,0.8083229331259167,اکن دمنتا,PRED
0010_warmal_19380527_0002_108,وايڠ بݢيمان باڽق ددفاتي,وايڠ بݢيمان باڽ ددفاتي,0.8780309661840323,وايڠ بݢيمان باڽق ددفاتي,GT
UM-1963-08-16-04-8-Column-26-44,تيݢ کرتس کرج دکموکاکن اوله تيݢ سيسوا، لفاسن يونيبرسيتي ازهر دان,تيك کرتس کرج دکموکن اوله تيک سيسوا لفاس يونبورسي ازهر دان,0.7974783266741343,تيݢ کرتس کرج دکموکاکن اوله تيݢ سيسوا، لفاسن يونيبرسيتي ازهر دان,GT
WM-1933-08-02-0002_6_Column-6-65,الرسالة البديعه، فصل القضية في,الرسالة البديعه، فصل القضية في ,0.9587368144452033,الرسالة البديعه، فصل القضية في ,PRED
0008_warmal_19380526_0002_44,دالم بهاسڽ تراوتام حکاية٢ دان,دالم بهاس تراوتام حکاية٢ دان,0.9069229094340567,دالم بهاس تراوتام حکاية٢ دان,PRED
0004_warmal_19380301_0002_126,کفداڽ.,کفدڠ,0.5870259747297195,کفداڽ.,GT
WM-1933-08-02-0006_31_Column-30-45,اد مڠرتي رومه اين بوکنڽ سهاج,اد مغرتي رومه اين بوکنڽ سهاج,0.954287562020539,اد مغرتي رومه اين بوکنڽ سهاج,PRED
0005_warmal_19380420_0001_97,سفاسڠ ݢلڠ کاکي دان دوا بنتوق چنچين.,سفاڠ ݢلڠ کاکي دان دوا بنتوق چنچين. ,0.9061658043625458,سفاڠ ݢلڠ کاکي دان دوا بنتوق چنچين. ,PRED
0005_warmal_19380420_0001_28,سديکالا جوݢ اي برکهندقکن کڤد,سديکالا جوݢ اي برکهندقکن کڤد,0.885614010524038,سديکالا جوݢ اي برکهندقکن کڤد,PRED
UM-1963-08-17-05-19-Column-37-19,"اڠݢريس، ""مک اورڠ٢ دولايه","""کركس. 'مك اورڠ ٢ دوليها'",0.6545276525296679,"اڠݢريس، ""مک اورڠ٢ دولايه",GT
0004_warmal_19380301_0002_32,راج فري کچنتيقکن، اکو سده.,راڠ فاري کچليقکن، اکو مده ,0.7651489039941537,راج فري کچنتيقکن، اکو سده.,GT
UM-1963-08-17-02-7-Column-35-25,منافيکن بريتا يڠ مڠتاکن نݢري,ماڤياکين рбиما مڠتاكي تکري,0.45621276901820246,منافيکن بريتا يڠ مڠتاکن نݢري,GT
0006_warmal_19380420_0002_11,"برتوکر بارڠ٢ نݢريڽ ايت?"" -"," برتوکر بارڠ٢ نݢرين ايت?""""",0.8187249030564568,"برتوکر بارڠ٢ نݢريڽ ايت?"" -",GT
WM-1933-08-02-0008_44_Column-42-35,کمبڠڽ اݢام مسيحي ايت تيدقله,کمبڠ اکام مسيحي ايت تيدقله,0.90021672474738,کمبڠڽ اݢام مسيحي ايت تيدقله,GT
0010_warmal_19380527_0002_57,کتاڽ!,کتاڽ!,0.9217834102237336,کتاڽ!,PRED
UM-1963-08-16-03-40-Column-20-37,اورڠ فنونتون دان سموا فوڠتن,الورق فنونون دان سمر فونن,0.6758940252678486,اورڠ فنونتون دان سموا فوڠتن,GT
0010_warmal_19380527_0002_125,LITTLE LIVER PILLS,Little Liver Pills,0.8853948095578656,LITTLE LIVER PILLS,GT
0010_warmal_19380527_0002_82,ملايو هڠک ببراف لام سفرت حکاية٢,ملايو هڠك ببراف لام سفرت حکاية٢,0.9507067552108581,ملايو هڠك ببراف لام سفرت حکاية٢,PRED
0005_warmal_19380420_0001_46,يڠلورس دان بنر ڤد کتيک کچيلمو نسچاي,يڠلورس دان بنر ڤد کتيك کچيلمو نسچاي,0.9297636933633008,يڠلورس دان بنر ڤد کتيك کچيلمو نسچاي,PRED
0005_warmal_19380420_0001_115,کمس يڠ اد ڤداڽ. کمدين مريکئيت فون,کمس يڠ اد فداڽ. کمدين مريكئيت فون ,0.8939105454478006,کمس يڠ اد ڤداڽ. کمدين مريکئيت فون,GT
0007_warmal_19380526_0001_103,حال ايت کڤد انقڽ دان ستله دسياست مک,حال ايت کڤد انقڽ دان ستله دسياست مك,0.8740031751126914,حال ايت کڤد انقڽ دان ستله دسياست مک,GT
WM-1933-08-02-0006_30_Column-29-68,سکالي دان لمڤو٢ يڠبرورن تله دڤاسڠ,سکالي دان لمڤ٢ يڠبرورن تله دڤاسڠ,0.8775466214385147,سکالي دان لمڤو٢ يڠبرورن تله دڤاسڠ,GT
WM-1933-08-02-0001_3_Column-3-50,مخلوق يڠلاين دالم ڤڠرنيأن دان,مڠلوڠ يڠلاين دالم ڤڠرنيأن دان. ,0.8234049292761767,مخلوق يڠلاين دالم ڤڠرنيأن دان,GT
UM-1963-08-24-07-24-Column-59-62,سمنتارا ايت فوان رحمه جوݢ,مڠتارا ايت فوان رحم جوك,0.6097027050853198,سمنتارا ايت فوان رحمه جوݢ,GT
WM-1933-08-02-0004_23_Column-22-35,افة برلاتيه کڤد تولڠ منولڠ مک واجب,افة برانيه کڤد تولڠ منولڠ مك واجب,0.8520362006865843,افة برلاتيه کڤد تولڠ منولڠ مک واجب,GT
0004_warmal_19380301_0002_93,فرمفوان ايت سرت دچيومڽ تاڠن,فرسفوان ايت سرت دجيمن تاڤن,0.8013185005572641,فرمفوان ايت سرت دچيومڽ تاڠن,GT
UM-1963-08-14-05-34-Column-9-42,باپق سکالي برسوڠة تنتڠ,تياني سكالي برسونا تتنتخ,0.6500377015119879,باپق سکالي برسوڠة تنتڠ,GT
WM-1933-08-02-0003_12_Column-12-16,دسببکن اوله ڤرومڤق٢ لاوت,دسيبکن اولة ڤرومڤ٢ لاوت ,0.7843184734801497,دسببکن اوله ڤرومڤق٢ لاوت,GT
0010_warmal_19380527_0002_75,کفد اورڠ ملايو، تياد فصل راج٢،,کفد اورڠ ملايو، تياد فصل راج٢، ,0.986937425465632,کفد اورڠ ملايو، تياد فصل راج٢، ,PRED
WM-1933-08-02-0002_8_Column-8-61,بڠمليا سرت مريد٢ دان ڤڠيکوت٢ڽ,بڠمليا سرت مريد٢ دان ڤڠيکوت٢,0.9173304398399669,بڠمليا سرت مريد٢ دان ڤڠيکوت٢,PRED
UM-1963-08-23-09-20-Column-57-9,فرتنديڠن اخر سيفق راݢ,فرنتنديڠ اخر سيڠ راک,0.7610121791449241,فرتنديڠن اخر سيفق راݢ,GT
0006_warmal_19380420_0002_6,"""بوليکه فواسهاتي نݢري٢ يڠ","""بوليکه فواساتي نكري. يڠ ",0.7480761420659379,"""بوليکه فواسهاتي نݢري٢ يڠ",GT
WM-1933-08-02-0004_25_Column-24-20,دولي يڠمها مليا سلطان ڤهڠ يڠمودا,دولي يڠمها مليا سلطان ڤهڠ يڠمودا,0.8974535908241877,دولي يڠمها مليا سلطان ڤهڠ يڠمودا,PRED
UM-1963-08-17-03-7-Column-33-1,بارڠ سياف يڠ ايڠين مڽرتأي کورسوس,ارڠ سفاڽ ايڠن ميتاڽ کوروس,0.6798036734236873,بارڠ سياف يڠ ايڠين مڽرتأي کورسوس,GT
WM-1933-08-02-0005_29_Column-28-13,دان ڤديه ڤد ماس کيت اين.,دان قديه فد ماس کيت اين. ,0.905819818634783,دان قديه فد ماس کيت اين. ,PRED
WM-1933-08-02-0008_44_Column-42-9,يڠدمکين چوباله تيڠوق بکس اݢام,تڠدمکين چوباه تيڠوق بکس اکام,0.7088943089893329,يڠدمکين چوباله تيڠوق بکس اݢام,GT
0010_warmal_19380527_0002_135,اتوران مڠݢو ناکن:,اتوران مڠݢوناکن: ,0.93603665932118,اتوران مڠݢوناکن: ,PRED
WM-1933-08-02-0006_30_Column-29-63,اڤي٢ دالم تمڤة مناري تله داوبهکن,ايي٢ دالم تمثة مناري تله داوبهکن,0.8517930282661563,اڤي٢ دالم تمڤة مناري تله داوبهکن,GT
WM-1933-08-02-0008_43_Column-41-4,(سمبوڠن درڤد موک5),(سمبوڠن درڤد موك٥),0.8783349324334362,(سمبوڠن درڤد موک5),GT
0007_warmal_19380526_0001_106,ايت دفربوات درڤد تمباݢ دان اي تياد,ايت دفربوات درڤد تمباݢ دان اي تياد,0.9415064617187162,ايت دفربوات درڤد تمباݢ دان اي تياد,PRED
WM-1933-08-02-0008_46_Column-44-5,ويملک بعد قحطن نبي,وبملك بعد قحطن تبي,0.7936953758310075,ويملک بعد قحطن نبي,GT
WM-1933-08-02-0008_44_Column-42-75,مريکئية مڠالهکن اعتقأد٢ اورڠ فرسي.,مريكئيا مڠالهکن اقتقأ٢ اورڠ فرسي. ,0.7715318607905661,مريکئية مڠالهکن اعتقأد٢ اورڠ فرسي.,GT
0010_warmal_19380527_0002_127,سمنجق دݢوناکن ببراف تاهون. فيل,سمنجق دݢوناکن ببراف تاهون. فيل,0.9295469384232355,سمنجق دݢوناکن ببراف تاهون. فيل,PRED
UM-1963-08-16-08-23-Column-30-2,فرجواڠن مڠمبڠکن بهاس کبڠسأن,فرجووان مڠميفکن بهاس کڠسان,0.6145575529687873,فرجواڠن مڠمبڠکن بهاس کبڠسأن,GT
WM-1933-08-02-0001_3_Column-3-43,تجلي (ڽات) دان کعاديلن دان,تجلي (يات) دان کعاديان دان,0.81289184907827,تجلي (ڽات) دان کعاديلن دان,GT
0006_warmal_19380420_0002_68,ايت مک تيدقله بوله دفيکرکن بهوا,ايت مك تيدقله بوله دفيکرکن بهوا,0.9363906661975198,ايت مك تيدقله بوله دفيکرکن بهوا,PRED
UM-1963-08-16-04-8-Column-26-12,"""قصص الانبياء"" دباڠونن معهد المحمود، الور ستار فد 2 اوݢسة يڠ لالو.","""قصص الإنجليا"" دا باتون معهد المحمود، الور ستار 2 اوكس بيج لاولو.",0.5933427656728156,"""قصص الانبياء"" دباڠونن معهد المحمود، الور ستار فد 2 اوݢسة يڠ لالو.",GT
0004_warmal_19380301_0002_91,تنتوله لايق توان منريما هديهڽ,نتوله لايق ثوان منريما هديهن,0.8104556818110136,تنتوله لايق توان منريما هديهڽ,GT
0005_warmal_19380420_0001_89,برنام احمد بن علي منچوب هندق منجوال,برنام احمد بن علي منچوب هندق منجوال,0.9472661074349236,برنام احمد بن علي منچوب هندق منجوال,PRED
0006_warmal_19380420_0002_19,سمولا فرنتاهن کراجأن يڠ دکواسکن,سمولافرنتاهن کراجأن يڠ دکواسکن,0.9109190051554779,سمولافرنتاهن کراجأن يڠ دکواسکن,PRED
UM-1963-08-14-06-5-Column-9-10,"""کبيباسن دان ديموقراسي تله","""کيباسيا دان ديمورفاسنئه""",0.505442082812734,"""کبيباسن دان ديموقراسي تله",GT
WM-1933-08-02-0006_32_Column-31-16,سئورڠ فرمڤوان اد منوليس :ـ,ـستورڠ فرمڤوان اد منوليس;-,0.8249925194550947,سئورڠ فرمڤوان اد منوليس :ـ,GT
UM-1963-08-14-03-19-Column-2-24,سرامي 20 اورڠ فکرج شريکة,سرامي 20 اورڠ فنچ شرکت,0.685815951317195,سرامي 20 اورڠ فکرج شريکة,GT
UM-1963-08-14-08-1-Column-13-34,تانه ملايو. أ. محمد شهاربرمحمد جالي مپتاکن دسيني بهوا فارتي,الله من اللوب. 1. محمد شهاب بن محمد جاليتي ميتاکن دسيسي بهوا فارتي,0.6940204633452718,تانه ملايو. أ. محمد شهاربرمحمد جالي مپتاکن دسيني بهوا فارتي,GT
0001_warmal_19380105_0001_42,الله تله مڠامڤونکنڽ ارتيڽ الله تله,الله تله مڠامفونکنڽ ارتيڽ الله تله ,0.8688852250809349,الله تله مڠامڤونکنڽ ارتيڽ الله تله,GT
0010_warmal_19380527_0002_15,اورڠ فوتيه درفد مولة اورڠ٢ توا,اورڠ فوتيه درفد مولة اورڠ٢ توا,0.9777991809736902,اورڠ فوتيه درفد مولة اورڠ٢ توا,PRED
UM-1963-08-23-03-8-Column-53-3,لاتيهن تاتو,لايتهن تانو,0.7451825464130426,لاتيهن تاتو,GT
UM-1963-08-23-07-33-Column-59-39,دسمبوڠکن فڠݢمبارانڽ ددالم,دستمکون فلکسراوان ران داللم,0.4438606691471805,دسمبوڠکن فڠݢمبارانڽ ددالم,GT
0010_warmal_19380527_0002_100,18. ايسيڽ کارڠن٢ بهارو اين,18. ايسيڽ کارڠن٢ بهارو اين,0.9294352500590768,18. ايسيڽ کارڠن٢ بهارو اين,PRED
0010_warmal_19380527_0002_79,فد بهاݢين لام تادي بلوم اد يڠ,فد بهاݢين لام تادي بلوم اد يڠ,0.9411841349135462,فد بهاݢين لام تادي بلوم اد يڠ,PRED
WM-1933-08-02-0002_8_Column-8-29,اي ترلالو برحاجة کڤد سئورڠ ڤمبايک,اي ترلالو براحة کڤد سئورڠ قمبايك,0.813031419221793,اي ترلالو برحاجة کڤد سئورڠ ڤمبايک,GT
WM-1933-08-02-0007_42_Column-40-87,عبد الجليل تله بکرج دباوه توان بارنس,عبدالجليل تله بکرج دباوهتوان بارنس,0.9349961364588398,عبدالجليل تله بکرج دباوهتوان بارنس,PRED
0010_warmal_19380527_0002_72,اتو ترکي مودن، سبب ايت تنتوله,اتو ترکي مودن، سبب ايت تنتوله ,0.9235538397972938,اتو ترکي مودن، سبب ايت تنتوله ,PRED
0006_warmal_19380420_0002_69,ݢرية بريتن ترتيڠݢل دبلاکڠ کلق,کرية برين ترتيبکل دبلا کڠ کلق.,0.7987645191206262,ݢرية بريتن ترتيڠݢل دبلاکڠ کلق,GT
0004_warmal_19380301_0002_40,تيدق برکنن مليهتکن ݢمبر٢ فرمفوان,تيدق برکنن مليهتکن اکمبر٢ فرموان,0.8355101919382445,تيدق برکنن مليهتکن ݢمبر٢ فرمفوان,GT
WM-1933-08-02-0006_35_Column-34-95,بوڠا اڤي خاص دڤسن دري,بوڠاڤي خاص دڤسن دري,0.8394208985962707,بوڠا اڤي خاص دڤسن دري,GT
0009_warmal_19380527_0001_72,دبيرکن تيڠݢل دالم سورتخبر٢ اتو,ديبرکن تيڠݢل دالم سورتخبر٢ انو,0.8920915123801489,دبيرکن تيڠݢل دالم سورتخبر٢ اتو,GT
0002_warmal_19380105_0002_18,(بڠسا٢ اسيڠ).,(بڠسا٢ (تيڠ)). ,0.7281844721459737,(بڠسا٢ اسيڠ).,GT
0010_warmal_19380527_0002_13,فلايرانڽ، ميسا ملايو، ببراف چريتا٢,فلايرانڽ، ميسا ملايو، ببراف چريتا٢,0.9295125403027596,فلايرانڽ، ميسا ملايو، ببراف چريتا٢,PRED
0002_warmal_19380105_0002_130,دسبوتکن ددالم بوکو طرف,دسبوتکن ددالم بوکو طرف,0.8937360537228428,دسبوتکن ددالم بوکو طرف,PRED
UM-1963-08-17-05-23-Column-37-1,کران داوݢة,مران داوة,0.6872042876881601,کران داوݢة,GT
WM-1933-08-02-0006_35_Column-34-10,يڠکسڤوله., يفکسفوله ,0.7187210785376544,يڠکسڤوله.,GT
0005_warmal_19380420_0001_30,(121) بهواسڽ مڠنڠ بودي اية مننجوقکن,(121) بهواسڽ مڠنڠ بودي اية منجوقن,0.9349987716363989,(121) بهواسڽ مڠنڠ بودي اية منجوقن,PRED
0009_warmal_19380527_0001_101,تأهضم ايت بوله دکتهوي دري مولاڽ افبيل براس,تأهضم ايت بوله دکتهوي دري مولان افبيل براس,0.908519262120941,تأهضم ايت بوله دکتهوي دري مولان افبيل براس,PRED
WM-1933-08-02-0003_18_Column-17-36,روس ممبنساکن تمڤت ايت سلما 18,1рос мөмنسакън төмът ايت سلا 18,0.5655460394532448,روس ممبنساکن تمڤت ايت سلما 18,GT
