Identifier,ground_truth,prediction,confidence,chosen_text,chosen_source
1933-06-27_2678_40,تڠه ايت مڠهاروسکن بردده دان,تڠه ايت مڠهاروسکن بردده دان,0.9209035527810374,تڠه ايت مڠهاروسکن بردده دان,PRED
1933-07-05_77_12,ايت تله برکمبڠن دڠن ڤادڠ,ايت تله برکمبڠن دڠن فادڠ,0.9892185276481107,ايت تله برکمبڠن دڠن فادڠ,PRED
1933-04-21_2334_3,بن حج أحمد تله مڠالهکن,بن حج أحمد تله مڠالهکن,0.9880287647866248,بن حج أحمد تله مڠالهکن,PRED
1940-03-30_726_56,رنچان2 اين دڠن تياد تاکوتکن,رنچان2 اين دڠن تياد تاکوتکن,0.9711123673839954,رنچان2 اين دڠن تياد تاکوتکن,PRED
1933-07-26_2761_43,دالم ساتو ڤرجنجين يڠ مڽاتاكن,دالم ساتو ڤرجنجين يڠ مڽاتاکن,0.9928746618448671,دالم ساتو ڤرجنجين يڠ مڽاتاکن,PRED
1933-03-23_1524_17,.منداتڠكن كلمهن دان مرندهكن هيمه,منداتڠکن کلمهن دان مرندهکن هيمه,0.993005786270843,منداتڠکن کلمهن دان مرندهکن هيمه,PRED
1941-01-08_818_60,يڠ کمنڠن مريک ڤد اخيرڽ,يڠ کمنڠن مريک ڤد اخيرڽ,0.9894952276727862,يڠ کمنڠن مريک ڤد اخيرڽ,PRED
1933-07-25_400_30,کڤد علماء2 سمڤاي دمکين ايت,کڤد علماء2 سمڤاي دمکين ايت,0.9980448804863481,کڤد علماء2 سمڤاي دمکين ايت,PRED
1940-09-05_1633_16,يڠ ساڠت ساي سايڠي يڠ,يڠ ساڠت ساي سايڠي يڠ,0.9421508252972328,يڠ ساڠت ساي سايڠي يڠ,PRED
1938-06-13-v2_1801_14,.برسيه ڤولا منوروت داره بڠساڽ,برسيه ڤولا منوروت داره بڠساڽ,0.9987831315083128,برسيه ڤولا منوروت داره بڠساڽ,PRED
1933-03-08_2597_4,سيام) دڠن کاڤل کوالا ڤد,سيام دڠن کاڤل کوالا ڤد,0.9815468596296284,سيام دڠن کاڤل کوالا ڤد,PRED
1941-01-15_927_5,مڠمبيل دسر تس ڤريبهس يت,مڠمبيل دسرتس ڤربيهس يت,0.912780897241624,مڠمبيل دسرتس ڤربيهس يت,PRED
1936-10-22_2569_4,ممبري تيدور يڠ لڽق دان,ممبري تيدوريڠ لڽق دان,0.923130543394233,ممبري تيدوريڠ لڽق دان,PRED
1933-05-02_247_18,کڤدڽ اڤ يڠ جادي سوک,کڤدڽ اڤ يڠ جادي سوک,0.9990810828041428,کڤدڽ اڤ يڠ جادي سوک,PRED
1939-11-20_1467_1,ملايو يڠ بهارو يڠ دڽاڽيکن,ملايو يڠ يهارو يڠ دڽاثيکن,0.9958093643020218,ملايو يڠ يهارو يڠ دڽاثيکن,PRED
1937-03-22_606_10,ايت قمودين درڤد ڤرقهوينن يڠ,ايت قمودين درڤد ڤرقهوينن يڠ,0.9902594248302757,ايت قمودين درڤد ڤرقهوينن يڠ,PRED
1940-12-18_1721_27,ڤمرينته يڠ دلانتيق اوليه يڠ,ڤمرينته يڠ دلانتيق اوليه يڠ,0.8863314505961277,ڤمرينته يڠ دلانتيق اوليه يڠ,PRED
1935-05-03_2776_1,بهارو يڠ سلامت دان سوليت,بهاوو يڠ سلامت دان سوليت,0.9104854661265882,بهاوو يڠ سلامت دان سوليت,PRED
1941-02-05_939_30,.مڠيکوت چارا دان ڤراتورن بهارو,مڠيکوت چارا دان ڤراتورن بهارو,0.9993458671271842,مڠيکوت چارا دان ڤراتورن بهارو,PRED
1940-12-10_361_23,ملايو اين ڤد اعتراف راج2,ملايو اين ڤد اعتراف راج2,0.9986774368579587,ملايو اين ڤد اعتراف راج2,PRED
1933-07-31_2352_32,دان ڤرتولوڠن درڤد توهن دان,دان ڤرتولوڠن درڤد توهن دان,0.9041603665845606,دان ڤرتولوڠن درڤد توهن دان,PRED
1933-06-30_2534_2,کيت اتس ڤرکارا2 يڠ برفاءيده,کيت اتس ڤرکارا2 يڠ برفاءيده,0.9294662130540968,کيت اتس ڤرکارا2 يڠ برفاءيده,PRED
1933-07-20_2044_40,سهاج يڠ بركهندق ايت دري,سهاج يڠ برکهندق ايت دري,0.9950304076443893,سهاج يڠ برکهندق ايت دري,PRED
1940-10-24_1837_3,سلالوله کيت داڤتي درڤد ڤمبلا2,سلالوله کيت داڤتي درڤد ڤمبلا2,0.9154998904585071,سلالوله کيت داڤتي درڤد ڤمبلا2,PRED
1933-07-31_2377_2,------------------------------------------- يڠ هندق مڠاجر اتاو,يڠ هندق مڠاجر اتاو,0.9061614555771201,يڠ هندق مڠاجر اتاو,PRED
1937-02-01_2811_27,ڤرنياݢاءن د دالم تاڠن مريک,ڤرنياݢاءن د دالم تاڠن مريک,0.9712596617755233,ڤرنياݢاءن د دالم تاڠن مريک,PRED
1933-12-08_2424_37,دان مودا. يڠ دمکين ماناکالا,دان مودا يڠ دمکين Manاکالا,0.9982902609519725,دان مودا يڠ دمکين Manاکالا,PRED
1933-07-06_2887_1,سسوڠݢوهڽ بارڠ يڠ مڽروڤاءي کأداءن,سسوڠݢوهڽ بارڠ يڠ مڽروڤاءي كأداءن,0.963313897334327,سسوڠݢوهڽ بارڠ يڠ مڽروڤاءي كأداءن,PRED
1940-09-03_2137_9,روڤا بارڠ2 نيکل برسادور امس,روڤا بارڠ2 نيکل برسادور امس,0.9982486603653657,روڤا بارڠ2 نيکل برسادور امس,PRED
1940-12-27_674_24,يڠ مڠلولا فرتنجوقکن اين ممبوک,يڠ مڠلولا فرتنجوقکن اين ممبوک,0.9965798547550766,يڠ مڠلولا فرتنجوقکن اين ممبوک,PRED
1934-03-01_601_62,دمکين تتڤکنله هاتي دان بلي,دمکين تتفکنله هاتي دان بلي,0.8374780965518792,دمکين تتفکنله هاتي دان بلي,PRED
1940-05-07_1965_56,تاهون دهولو دان کداتڠنڽ دسيني,تاهون دهولو دان کداتڠنڽ دسيني,0.9764493001716856,تاهون دهولو دان کداتڠنڽ دسيني,PRED
1937-10-16_1906_9,"],سوڤايا دجاديکنڽ سواتو الت [مڽاله",سوڤايا دجاديکنڽ سواتوالت مڽااله,0.9807896197253455,سوڤايا دجاديکنڽ سواتوالت مڽااله,PRED
1933-04-22_463_129,اوکورن 32 هيڠݢ 42 اينچي,اوکورن 32 هيڠݢ 42 اينچي,0.9986666759904916,اوکورن 32 هيڠݢ 42 اينچي,PRED
1937-02-01_2811_5,ساوداݢر2 بڠسا اسيڠ ماسوق ک,ساوداݢر2 بڠسا اسيڠ ماسوق ک,0.9967691721649747,ساوداݢر2 بڠسا اسيڠ ماسوق ک,PRED
1933-06-02_1137_20,.ڤولاو ڤينڠ د کوالا لومڤور,ڤولاو ڤينڠ دکوالا لومڤور,0.9734232345052416,ڤولاو ڤينڠ دکوالا لومڤور,PRED
1933-07-10_2847_29,ياءيت اي تله منداڤت کسوکاءن,ياءيت اي تله منداڤت کسوکاءن,0.9974986599848237,ياءيت اي تله منداڤت کسوکاءن,PRED
1937-11-09_579_14,ڤد لله دڠن هيدوڤ جسد,ڤد لله دڠن هيدوڤ جسد,0.9989319350956588,ڤد لله دڠن هيدوڤ جسد,PRED
1933-07-05_78_22,يڠ فرتام ساي ماسوق إسلام,يڠ فرتام ساي ماسوق إسلام,0.9947124973818589,يڠ فرتام ساي ماسوق إسلام,PRED
1940-06-29_495_23,ڤمباچ يڠ باڽق اتاو جکالاو,ڤمباچ يڠ باڽق اتاو جکالاو,0.9641686952137081,ڤمباچ يڠ باڽق اتاو جکالاو,PRED
1937-11-10_2226_6,دان تندا ڤرنياݢاءن سوڤايا تياد,دان تندا ڤرنياݢ اءن سوڤايا تياد,0.9476139938513813,دان تندا ڤرنياݢ اءن سوڤايا تياد,PRED
1933-07-17_1769_20,ساي نسچاي اداله يڠ ترلبيه,ساي نسچاي اداله يڠ ترلبيه,0.9880262664522007,ساي نسچاي اداله يڠ ترلبيه,PRED
1940-12-06_263_15,"اقتصاد, مک اوچڤن ايت تيدقله",اقتصاد مک اوچڤن ايت تيدقله,0.9496063418244581,اقتصاد مک اوچڤن ايت تيدقله,PRED
1940-12-30_146_8,اد دليل يڠ لبيه باءيق,اد دليل يڠ لبيه باءيق,0.9985988244315541,اد دليل يڠ لبيه باءيق,PRED
1933-05-24_851_5,کقواتن ڤادڠ? يڠ دمکين ايت,کقوىاتن ڤادڠ يڠ دمکين ايت,0.7987484641374927,کقوىاتن ڤادڠ يڠ دمکين ايت,PRED
1933-07-25_400_37,يڠ تربڠسا کڤد توهن دان,يڠ تربڠسا کڤد توهن دان,0.9955647866880366,يڠ تربڠسا کڤد توهن دان,PRED
1937-03-05_1193_11,ددالمڽ اي تله منونجوقکن جاس,ددالمڽ اي تله منونجوقکن جاس,0.9780550808202203,ددالمڽ اي تله منونجوقکن جاس,PRED
1937-10-22_1414_3,اݢقڽ سايله يڠ مڽببکن کامو,اݢقڽ سايله يڠ مڽبيکن کامو,0.9964809712162236,اݢقڽ سايله يڠ مڽبيکن کامو,PRED
1933-06-29_788_29,کڤد سݢالا بهاس2. مک اڤ,کڤد سݢالا بهاس2 مک اڤ,0.9973405746611402,کڤد سݢالا بهاس2 مک اڤ,PRED
1933-07-06_2873_4,اثنين سأورڠ بڠسا انديا برنام,اثنين سأورڠ بڠسا انديا برنام,0.9885189293642292,اثنين سأورڠ بڠسا انديا برنام,PRED
1937-03-25_904_29,تانه ايت تيدق اد ڤد,تانه ايت تيدق اد ڤه,0.982676902424008,تانه ايت تيدق اد ڤه,PRED
1933-07-20_2044_22,مسئله بردده دان برليندوڠ دالم,مسئله برده دان برليندوڠ دالم,0.8991143031547716,مسئله برده دان برليندوڠ دالم,PRED
1937-10-29_66_3,لله تله سکتکن مريک درڤد,لله تله سکنتکن مربک درڤد,0.9639858218819672,لله تله سکنتکن مربک درڤد,PRED
1933-07-05_82_6,منتڤکن يڠ اورڠ2 إسلام دالم,منتڤکن يڠ اورڠ2 إسلام دالم,0.9548390634435265,منتڤکن يڠ اورڠ2 إسلام دالم,PRED
1937-03-22_606_18,تيدق اي منوليس2 کڤد ڽا,تيدق اي مفوليس2 کڤد ڽا,0.981553400569322,تيدق اي مفوليس2 کڤد ڽا,PRED
1940-02-14_1553_30,دڠن اخلاس دڠن تياد مريک,دڠن اخلاس دڠن تياد مريک,0.8835051722554341,دڠن اخلاس دڠن تياد مريک,PRED
1939-05-18_1349_21,.دان سيڠافورا,دان سيڠافورا,0.9824758152344051,دان سيڠافورا,PRED
1933-05-10_1688_15,ياءيت مريک هندق ڤرݢي ک,ياءيت مريک هندق ڤرݢي ک,0.9832323719956794,ياءيت مريک هندق ڤرݢي ک,PRED
1933-07-18_1444_6,"مرسيڠ, کرن ڤد هري يڠ",مرسيڠ کرن ڤد هري يڠ,0.9962140673258594,مرسيڠ کرن ڤد هري يڠ,PRED
1933-07-26_2740_2,.دان ڤيليه سنديري سيمڤنن برحد,دان ڤيليه سنديري سيمڤن برحد,0.9673476375805226,دان ڤيليه سنديري سيمڤن برحد,PRED
1937-03-05_1191_39,ددالمڽ اي مڽبوتکن ياءيت تياڤ2,ددالمڽ اي مڽبوتکن ياءيت تياڤ2,0.9858704631621451,ددالمڽ اي مڽبوتکن ياءيت تياڤ2,PRED
1938-11-29_1267_36,ايت کڤد اورڠ اسيڠ يڠ,ايت کڤد اورڠ اسيڠ يڠ,0.9959475022263954,ايت کڤد اورڠ اسيڠ يڠ,PRED
1938-11-30_1623_17,.تانه ايت اکن هابيس لڠسوڠ,تانه ايت اکن هابيس لڠسوڠ,0.9933101954094659,تانه ايت اکن هابيس لڠسوڠ,PRED
1933-12-09_2799_22,حاکيم: اوق اد تيدق ڤوکول,حاکيم اوق اد تيدق ڤوکول,0.995940865391803,حاکيم اوق اد تيدق ڤوکول,PRED
1933-05-03_638_10,ايت. اورڠ2 کباڽقکنڽ برهارڤ درڤد,ايت اورڠ2 کباڽ قکنڽ برهارڤ درقد,0.9983020476961172,ايت اورڠ2 کباڽ قکنڽ برهارڤ درقد,PRED
1937-11-05_773_28,لاءين دان بوکن کڤد اومت,لاءين دان بوکن کڤد اومت,0.9936659381028363,لاءين دان بوکن کڤد اومت,PRED
1933-06-27_2686_3,اين اتاو ڤسن دڠن جالن,اين اتاو ڤسن دڠن جالن,0.9939316927530812,اين اتاو ڤسن دڠن جالن,PRED
1936-12-21_974_105,ايت سنتياس دڤاکاي. دليل يڠ,ايت سنتياس دڤاکااي دليل يڠ,0.9931853457598403,ايت سنتياس دڤاکااي دليل يڠ,PRED
1933-07-21_1551_27,برماچم2 فيشن سليڤر2 ڤرمڤوان برتکت,برماچم2 فيشن سليڤر2 ڤرمفوان برتکت,0.9986981884079031,برماچم2 فيشن سليڤر2 ڤرمفوان برتکت,PRED
1939-05-17_1649_8,ورتاون “راج يڠ كدوا” تراوتامڽ,ورتاون راج يڠ کدوا تراوتامڽ,0.9821325038340981,ورتاون راج يڠ کدوا تراوتامڽ,PRED
1933-07-27_2458_35,کڤد عالم کظاليمن2 اورڠ2 چينا,کڤد عالم کظاليمن2 اورڠ2 چينا,0.9975844553962187,کڤد عالم کظاليمن2 اورڠ2 چينا,PRED
1933-07-04_757_39,دڠن برلاءين2 سام سکالي اکن,دڠن برلاءين2 سام سکالي اکن,0.9709637652307687,دڠن برلاءين2 سام سکالي اکن,PRED
1933-12-09_2792_30,ݢورو ڤڠاکڤ. دان بينتڠ2 باݢي,ݢورو ڤڠاکڤ دان بينتڠ2 ياݢي,0.892801561917634,ݢورو ڤڠاکڤ دان بينتڠ2 ياݢي,PRED
1939-05-23_944_44,يڠ برکتڠݢوڠن دان اوليه راج,يڠ بوكتڠݢوڠن دان اوليه راج,0.8041628592570702,يڠ بوكتڠݢوڠن دان اوليه راج,PRED
1941-01-03_885_18,يڠ دکاتاکن تله کچورين دري,يڠ دکاتاکن تله کچورين دري,0.9985411555510133,يڠ دکاتاکن تله کچورين دري,PRED
1937-12-09_1434_1,تله سمڤورنا باڠوننڽ ايت اياله,تله سمڤورنا باڠوننڽ ايت اياله,0.9963420561202194,تله سمڤورنا باڠوننڽ ايت اياله,PRED
1937-02-27_2127_4,"اد هرتا سڤرتي واڠ, کايو",اد هرتا سڤرتي واڠ کايو,0.9964325800925086,اد هرتا سڤرتي واڠ کايو,PRED
1940-04-05_1034_43,دکلوارکن زکاةڽ سباڽق 17 ليم,دکلوارکن زکاةڽ سباڽق 17 ليم,0.9981950156629996,دکلوارکن زکاةڽ سباڽق 17 ليم,PRED
1933-07-29_125_4,",د دالم ڤرکارا مولس ڤروت",د دالم ڤرکارا مولس ڤروت,0.9375062626592173,د دالم ڤرکارا مولس ڤروت,PRED
1940-10-24_1837_22,سوءال ايت دمکين بوڽيڽ. اد,سوءال ايت دمکين يوڽيڽ اد,0.8256289171418592,سوءال ايت دمکين يوڽيڽ اد,PRED
1937-10-15_1163_18,ايت برمعنا ماءنسي مموهون کڤد,ايت برمعنا ماءنسي مموهون کڤد,0.7733546579191867,ايت برمعنا ماءنسي مموهون کڤد,PRED
1933-04-25_1019_5,لومبوڠ بيجيه سرتا برتمبه2 حاصيل,لومبوڠ بيجيه سرتا برتمبه2 حاصيل,0.8328564220434426,لومبوڠ بيجيه سرتا برتمبه2 حاصيل,PRED
1933-07-29_109_35,کأونتوڠن دان مصلحت کيت دمکين,کأونتوڠن دان مصلحت کيت دمکين,0.9958424007249629,کأونتوڠن دان مصلحت کيت دمکين,PRED
1933-05-05_1217_29,باندر ايت ڤد 13 هاري,ياندر ايت ڤد13 هاري,0.9843645918732054,ياندر ايت ڤد13 هاري,PRED
1933-04-28_1230_11,مريک يت تله ددڤتي سله,مريک بيت تله ددڤتي سله,0.9600205509768266,مريک بيت تله ددڤتي سله,PRED
1940-12-06_263_42,دايندونيسيا. هيڠݢ 10 مي 1940,دايندونيسيا هيڠݢ 10 مي 1940,0.9524131237840687,دايندونيسيا هيڠݢ 10 مي 1940,PRED
1933-12-08_2421_21,يرق ------------------- بڠلو يڠ مه,يرق ــــــــــــــــــــ بڠلو يڠ مه,0.54924176096056,يرق ــــــــــــــــــــ بڠلو يڠ مه,PRED
1937-10-22_1398_35,بوليه جادي بهاوا سبهاݢين درڤد,بوليه جادي بهاوا صبهاݢين درڤد,0.9861143332388828,بوليه جادي بهاوا صبهاݢين درڤد,PRED
1940-10-26_1284_5,برکواس مڠهياس ديريڽ ايت ڤرݢاءولنڽ,برکواس مڠهياس ديريڽ ايت ڤرݢاءولنڽ,0.9965662523659626,برکواس مڠهياس ديريڽ ايت ڤرݢاءولنڽ,PRED
1933-05-02_234_20,سي واريث يڠ لاکيڽ ايت,سي واريث يڠ لاکيڽ ايت,0.9477052851260747,سي واريث يڠ لاکيڽ ايت,PRED
1941-01-03_881_52,برکهندقکن ميڽق. د سن سيني,برکهندقکن ميڽق د سن سيني,0.9969621609134415,برکهندقکن ميڽق د سن سيني,PRED
1941-02-05_936_18,واكيل2 سݢالا نݢري2 يڠ تله,واکيل2 سݢالا نݢري2 يڠ تله,0.9994763361939831,واکيل2 سݢالا نݢري2 يڠ تله,PRED
1933-12-09_2799_14,محکمه” _________________________________ حاکيم: سياڤا نام,محکمه  حاکيم سياڤا نام,0.8585082659513428,محکمه  حاکيم سياڤا نام,PRED
1933-04-25_1019_32,نݢري2 يڠ برسکوتو ايت يڠ,نݢري2 يڠ برسکوتو ايت يڠ,0.9960116290456675,نݢري2 يڠ برسکوتو ايت يڠ,PRED
1936-11-24_2071_26,تتکالا سقسي ممبري امرن يڠ,تتكالا سقسي مMBEDري امرن يڠ,0.9044069042085296,تتكالا سقسي مMBEDري امرن يڠ,PRED
1933-05-02_237_9,منجادي ساتو كبرتن كڤد ديري,منجادي ساتو کبرتن کڤد ديري,0.9908587512811827,منجادي ساتو کبرتن کڤد ديري,PRED
1941-01-08_819_25,لبيه درڤد 400 اورڠ ڤندو,لبيه درڤد 400 اورڠ ڤندو,0.9861416328132381,لبيه درڤد 400 اورڠ ڤندو,PRED
1939-09-01_1384_45,"ملايا, دڠن قهندق دان مصليحت",ملايا دڠن قهندق دان مصليحت,0.9986184776843556,ملايا دڠن قهندق دان مصليحت,PRED
1933-06-27_2679_8,دالم منتڤکن کلاکين2 دان ڤهلاون,دالم منتڤکن کلاکين2 دان ڤهلاون,0.9330114244355934,دالم منتڤکن کلاکين2 دان ڤهلاون,PRED
1933-07-11_2246_32,يڠ تاجم جادي سمواڽ ايت,يڠ تاجم جادي سمواڽ ايت,0.9992248176130132,يڠ تاجم جادي سمواڽ ايت,PRED
1937-11-10_2237_11,اوليه سأورڠ ڤڠهولو. دان كالاو,اوليه سأورڠ ڤڠهولو دان کالاو,0.9778252543640908,اوليه سأورڠ ڤڠهولو دان کالاو,PRED
1937-10-25_348_8,ڤلواڠ اين سيلاله داتڠ کرومه,ڤلواڠ اين سيلاله داتڠ کرومه,0.9736736772337882,ڤلواڠ اين سيلاله داتڠ کرومه,PRED
1939-05-17_1649_4,ملي سوڤي ممبوڠ حروف عرب,ملي سوڤي ممبوڠ حروف عرب,0.9879933694082716,ملي سوڤي ممبوڠ حروف عرب,PRED
1936-10-17_700_24,",روتن, کلاڤ کريڠ, ڤينڠ کريڠ",روتن کلاف كريڠ ڤينڠ كريڠ,0.8889572271532602,روتن کلاف كريڠ ڤينڠ كريڠ,PRED
1940-09-05_1637_7,کران ماسق مماسق اياڽ منداتڠکن,کران ماسق  مماسق اياڽ منداتڠکن,0.9970079102575954,کران ماسق  مماسق اياڽ منداتڠکن,PRED
1937-03-09_984_10,ڤد مذهب ملکي يڠ مڠاتاکن,ڤد مذهب ملکي يڠ مڠاتاکن,0.9730694494948893,ڤد مذهب ملکي يڠ مڠاتاکن,PRED
1940-12-30_147_27,اتس سوءال يڠ ترسبوت دأتس,اتس سوءال يڠ ترسبوت دأتس,0.9976588303559706,اتس سوءال يڠ ترسبوت دأتس,PRED
1938-09-11_1584_2,ڤنتاي اکو برديري سمبيل اکو,ڤنتاي اکو یرديري سمبيل اکو,0.979236749379446,ڤنتاي اکو یرديري سمبيل اکو,PRED
1933-07-15_1064_0,کيريمن سورت2. -------------------------------- دڠن کريتا,کيريمن سورت2  دڠن کريتا,0.984876852123205,کيريمن سورت2  دڠن کريتا,PRED
1933-03-08_2600_0,اهلي برتومبوق----------------------- اهلي برتومبوق يڠ,اهلي برتومبوق----------------------------- اهلي برتومبوق يڠ,0.9513196815817305,اهلي برتومبوق----------------------------- اهلي برتومبوق يڠ,PRED
1940-10-15_2398_22,مک کافيرله اورڠ يڠ ممباݢوسکنڽ,مک کافيرله اورڠ يڠ ممباݢوسکنڽ,0.9957509060200826,مک کافيرله اورڠ يڠ ممباݢوسکنڽ,PRED
1937-03-25_909_31,___________________________ باچله ورتا ملايا برباݢاي2, baچله ورتا ملايا برباݢاي2,0.8218077818018997, baچله ورتا ملايا برباݢاي2,PRED
1940-09-11_1139_40,علمو يڠ قوات منونجوقکن کبنرن,علمو يڠ قوات منونجوقکن کبنرن,0.9934151601683329,علمو يڠ قوات منونجوقکن کبنرن,PRED
1933-02-28_2289_3,اورڠ چينا يڠ اد برسنجاتاکن,اورڠ جينا يڠ اد برصنجاتاکن,0.848777284479107,اورڠ جينا يڠ اد برصنجاتاکن,PRED
1933-03-08_2604_14,.اکن برسکوتو دالم ڤرهيمڤونن اين,اکن برسکوتو دالم ڤرهيمڤونن اين,0.975623591084782,اکن برسکوتو دالم ڤرهيمڤونن اين,PRED
1933-05-10_1689_8,يڠ منداتڠکن کصيحتن ايت. تنتوله,يڠ منداتڠکن کصيحتن ايت تنتوله,0.99767151752065,يڠ منداتڠکن کصيحتن ايت تنتوله,PRED
1933-03-08_2573_12,برباݢي2 بهاݢين برهيدوف دالم چمڤورن,برباݢي2 بهاݢين برهيدوف دالم چمڤورن,0.9887300201309195,برباݢي2 بهاݢين برهيدوف دالم چمڤورن,PRED
1940-09-03_2148_8,باڽق درڤد علماء’ مسير يڠ,باڽق درڤد علماء مسيدي يڠ,0.8727806424785286,باڽق درڤد علماء مسيدي يڠ,PRED
1933-04-25_1026_21,مصلحت ايت هندقله دجالنکن دڠن,مصلحت ايت هندقله دجالنکن دڠن,0.9899309732952744,مصلحت ايت هندقله دجالنکن دڠن,PRED
1940-12-06_263_57,منجدي بوقتي بهو سوسونن وندڠ2,منجدي بوقتي بهو سوسونن وندڠ2,0.9340720370293066,منجدي بوقتي بهو سوسونن وندڠ2,PRED
1939-03-02_2181_15,هيڠݢ سمڤاي وقتو مينوم تيه,هيڠݢ سمڤاي وقتو مينوم تيه,0.9975881928792566,هيڠݢ سمڤاي وقتو مينوم تيه,PRED
1937-03-06_1913_10,چوکوڤ عمورڽ مک فرينتهن کراجاءنڽ,جوكوڤ عمورڽ مک فرينتهن کرأجاءنڽ,0.7908247518058313,جوكوڤ عمورڽ مک فرينتهن کرأجاءنڽ,PRED
1940-09-25_1602_9,اياله ديريڽ سڤرتي ڤد موک,اياله ديريڽ سڤرتي ڤد موک,0.9510392625374052,اياله ديريڽ سڤرتي ڤد موک,PRED
1933-06-30_2534_25,بوليه جادي دان ماجو سکيراڽ,بوليه جادي دان ماجو سکيراڽ,0.9905663485063789,بوليه جادي دان ماجو سکيراڽ,PRED
1940-09-12_1867_54,راج2 يڠ ممرينته کمودين درڤد,راج2 يڠ ممرينته کمودين درڤد,0.997657408518035,راج2 يڠ ممرينته کمودين درڤد,PRED
1937-04-05_2161_40,يڠ دأمبيل درڤدڽ. اداڤون معنا2,يڠ دأمبيل درڤدڽ اداڤون معنا2,0.9815963803491249,يڠ دأمبيل درڤدڽ اداڤون معنا2,PRED
1933-04-22_463_90,چونتوه د اتس سديا برجاهيت,چونتوه د اتس سديا برجاهيت,0.9985652378490154,چونتوه د اتس سديا برجاهيت,PRED
1941-02-05_936_5,برديري دان برتاڤق مک نݢري,برديري دان برتاڤق مک نݢري,0.9592213120711385,برديري دان برتاڤق مک نݢري,PRED
