Identifier,ground_truth,prediction,confidence,chosen_text,chosen_source
1933-03-08_2597_4,سيام) دڠن کاڤل کوالا ڤد,سيام دڠن کاڤل کوالا ڤد,0.9820490251997827,سيام دڠن کاڤل کوالا ڤد,PRED
1941-01-15_927_5,مڠمبيل دسر تس ڤريبهس يت,مڠمبيل دسرتس ڤربيهس يت,0.9123550556824606,مڠمبيل دسرتس ڤربيهس يت,PRED
1936-10-22_2569_4,ممبري تيدور يڠ لڽق دان,ممبري تيدوريڠ لڽق دان,0.9230432430340225,ممبري تيدوريڠ لڽق دان,PRED
1933-05-02_247_18,کڤدڽ اڤ يڠ جادي سوک,کڤدڽ اڤ يڠ جادي سوک,0.9990691565964898,کڤدڽ اڤ يڠ جادي سوک,PRED
1939-11-20_1467_1,ملايو يڠ بهارو يڠ دڽاڽيکن,ملايو يڠ يهارو يڠ دڽاثيکن,0.9957094856971062,ملايو يڠ يهارو يڠ دڽاثيکن,PRED
1937-03-22_606_10,ايت قمودين درڤد ڤرقهوينن يڠ,ايت قمودين درڤد ڤرقهوينن يڠ,0.9903504062550003,ايت قمودين درڤد ڤرقهوينن يڠ,PRED
1940-12-18_1721_27,ڤمرينته يڠ دلانتيق اوليه يڠ,ڤمرينته يڠ دلانتيق اوليه يڠ,0.8866572835032057,ڤمرينته يڠ دلانتيق اوليه يڠ,PRED
1935-05-03_2776_1,بهارو يڠ سلامت دان سوليت,بهاوو يڠ سلامت دان سوليت,0.9083136945020661,بهاوو يڠ سلامت دان سوليت,PRED
1941-02-05_939_30,.مڠيکوت چارا دان ڤراتورن بهارو,مڠيکوت چارا دان ڤراتورن بهارو,0.9993652381687199,مڠيکوت چارا دان ڤراتورن بهارو,PRED
1940-12-10_361_23,ملايو اين ڤد اعتراف راج2,ملايو اين ڤد اعتراف راج2,0.9986632271356214,ملايو اين ڤد اعتراف راج2,PRED
1933-07-31_2352_32,دان ڤرتولوڠن درڤد توهن دان,دان ڤرتولوڠن درڤد توهن دان,0.9030427229360569,دان ڤرتولوڠن درڤد توهن دان,PRED
1933-06-30_2534_2,کيت اتس ڤرکارا2 يڠ برفاءيده,کيت اتس ڤرکارا2 يڠ برفاءيده,0.9277808702672787,کيت اتس ڤرکارا2 يڠ برفاءيده,PRED
1933-07-20_2044_40,سهاج يڠ بركهندق ايت دري,سهاج يڠ برکهندق ايت دري,0.9951665015904915,سهاج يڠ برکهندق ايت دري,PRED
1940-10-24_1837_3,سلالوله کيت داڤتي درڤد ڤمبلا2,سلالوله کيت داڤتي درڤد ڤمبلا2,0.9149954183248136,سلالوله کيت داڤتي درڤد ڤمبلا2,PRED
1933-07-31_2377_2,------------------------------------------- يڠ هندق مڠاجر اتاو,يڠ هندق مڠاجر اتاو,0.9046533148356597,يڠ هندق مڠاجر اتاو,PRED
1937-02-01_2811_27,ڤرنياݢاءن د دالم تاڠن مريک,ڤرنياݢاءن د دالم تاڠن مريک,0.9715471238169421,ڤرنياݢاءن د دالم تاڠن مريک,PRED
1933-12-08_2424_37,دان مودا. يڠ دمکين ماناکالا,دان مودا يڠ دمکين Manاکالا,0.9983123195561189,دان مودا يڠ دمکين Manاکالا,PRED
1933-07-06_2887_1,سسوڠݢوهڽ بارڠ يڠ مڽروڤاءي کأداءن,سسوڠݢوهڽ بارڠ يڠ مڽروڤاءي كأداءن,0.9630028848883706,سسوڠݢوهڽ بارڠ يڠ مڽروڤاءي كأداءن,PRED
1940-09-03_2137_9,روڤا بارڠ2 نيکل برسادور امس,روڤا بارڠ2 نيکل برسادور امس,0.9982366322620926,روڤا بارڠ2 نيکل برسادور امس,PRED
1940-12-27_674_24,يڠ مڠلولا فرتنجوقکن اين ممبوک,يڠ مڠلولا فرتنجوقکن اين ممبوک,0.9965846419386336,يڠ مڠلولا فرتنجوقکن اين ممبوک,PRED
1934-03-01_601_62,دمکين تتڤکنله هاتي دان بلي,دمکين تتفکنله هاتي دان بلي,0.8388864300421823,دمکين تتفکنله هاتي دان بلي,PRED
1940-05-07_1965_56,تاهون دهولو دان کداتڠنڽ دسيني,تاهون دهولو دان کداتڠنڽ دسيني,0.9762977365398795,تاهون دهولو دان کداتڠنڽ دسيني,PRED
1937-10-16_1906_9,"],سوڤايا دجاديکنڽ سواتو الت [مڽاله",سوڤايا دجاديکنڽ سواتوالت مڽااله,0.9807987965819489,سوڤايا دجاديکنڽ سواتوالت مڽااله,PRED
1933-04-22_463_129,اوکورن 32 هيڠݢ 42 اينچي,اوکورن 32 هيڠݢ 42 اينچي,0.998662068824923,اوکورن 32 هيڠݢ 42 اينچي,PRED
1937-02-01_2811_5,ساوداݢر2 بڠسا اسيڠ ماسوق ک,ساوداݢر2 بڠسا اسيڠ ماسوق ک,0.996720477480105,ساوداݢر2 بڠسا اسيڠ ماسوق ک,PRED
1933-06-02_1137_20,.ڤولاو ڤينڠ د کوالا لومڤور,ڤولاو ڤينڠ دکوالا لومڤور,0.9747823352815455,ڤولاو ڤينڠ دکوالا لومڤور,PRED
1933-07-10_2847_29,ياءيت اي تله منداڤت کسوکاءن,ياءيت اي تله منداڤت کسوکاءن,0.9975181198188824,ياءيت اي تله منداڤت کسوکاءن,PRED
1937-11-09_579_14,ڤد لله دڠن هيدوڤ جسد,ڤد لله دڠن هيدوڤ جسد,0.9989204782043763,ڤد لله دڠن هيدوڤ جسد,PRED
1933-07-05_78_22,يڠ فرتام ساي ماسوق إسلام,يڠ فرتام ساي ماسوق إسلام,0.9948707078659454,يڠ فرتام ساي ماسوق إسلام,PRED
1940-06-29_495_23,ڤمباچ يڠ باڽق اتاو جکالاو,ڤمباچ يڠ باڽق اتاو جکالاو,0.9636553997421637,ڤمباچ يڠ باڽق اتاو جکالاو,PRED
1937-11-10_2226_6,دان تندا ڤرنياݢاءن سوڤايا تياد,دان تندا ڤرنياݢ اءن سوڤايا تياد,0.9433083217173704,دان تندا ڤرنياݢ اءن سوڤايا تياد,PRED
1933-07-17_1769_20,ساي نسچاي اداله يڠ ترلبيه,ساي نسچاي اداله يڠ ترلبيه,0.9881942737741859,ساي نسچاي اداله يڠ ترلبيه,PRED
1940-12-06_263_15,"اقتصاد, مک اوچڤن ايت تيدقله",اقتصاد مک اوچڤن ايت تيدقله,0.9508507561425282,اقتصاد مک اوچڤن ايت تيدقله,PRED
1940-12-30_146_8,اد دليل يڠ لبيه باءيق,اد دليل يڠ لبيه باءيق,0.9986036644402179,اد دليل يڠ لبيه باءيق,PRED
1933-05-24_851_5,کقواتن ڤادڠ? يڠ دمکين ايت,کقوىاتن ڤادڠ يڠ دمکين ايت,0.799962683658159,کقواتن ڤادڠ? يڠ دمکين ايت,GT
1933-07-25_400_37,يڠ تربڠسا کڤد توهن دان,يڠ تربڠسا کڤد توهن دان,0.9955317620463071,يڠ تربڠسا کڤد توهن دان,PRED
1937-03-05_1193_11,ددالمڽ اي تله منونجوقکن جاس,ددالمڽ اي تله منونجوقکن جاس,0.9780584244515032,ددالمڽ اي تله منونجوقکن جاس,PRED
1937-10-22_1414_3,اݢقڽ سايله يڠ مڽببکن کامو,اݢقڽ سايله يڠ مڽبيکن کامو,0.9965215200309105,اݢقڽ سايله يڠ مڽبيکن کامو,PRED
1933-06-29_788_29,کڤد سݢالا بهاس2. مک اڤ,کڤد سݢالا بهاس2 مک اڤ,0.9973451461445912,کڤد سݢالا بهاس2 مک اڤ,PRED
1933-07-06_2873_4,اثنين سأورڠ بڠسا انديا برنام,اثنين سأورڠ بڠسا انديا برنام,0.9884971324732775,اثنين سأورڠ بڠسا انديا برنام,PRED
1937-03-25_904_29,تانه ايت تيدق اد ڤد,تانه ايت تيدق اد ڤه,0.982434523373374,تانه ايت تيدق اد ڤه,PRED
1933-07-20_2044_22,مسئله بردده دان برليندوڠ دالم,مسئله برده دان برليندوڠ دالم,0.9004502991034993,مسئله برده دان برليندوڠ دالم,PRED
1937-10-29_66_3,لله تله سکتکن مريک درڤد,لله تله سکنتکن مربک درڤد,0.9641226941788789,لله تله سکنتکن مربک درڤد,PRED
1933-07-05_82_6,منتڤکن يڠ اورڠ2 إسلام دالم,منتڤکن يڠ اورڠ2 إسلام دالم,0.9543173147657399,منتڤکن يڠ اورڠ2 إسلام دالم,PRED
1937-03-22_606_18,تيدق اي منوليس2 کڤد ڽا,تيدق اي مفوليس2 کڤد ڽا,0.9808497700113663,تيدق اي مفوليس2 کڤد ڽا,PRED
1940-02-14_1553_30,دڠن اخلاس دڠن تياد مريک,دڠن اخلاس دڠن تياد مريک,0.8829336043482707,دڠن اخلاس دڠن تياد مريک,PRED
1939-05-18_1349_21,.دان سيڠافورا,دان سيڠافورا,0.9825001396616233,دان سيڠافورا,PRED
1933-05-10_1688_15,ياءيت مريک هندق ڤرݢي ک,ياءيت مريک هندق ڤرݢي ک,0.9832446000541182,ياءيت مريک هندق ڤرݢي ک,PRED
1933-07-18_1444_6,"مرسيڠ, کرن ڤد هري يڠ",مرسيڠ کرن ڤد هري يڠ,0.9961959758363501,مرسيڠ کرن ڤد هري يڠ,PRED
1933-07-26_2740_2,.دان ڤيليه سنديري سيمڤنن برحد,دان ڤيليه سنديري سيمڤن برحد,0.9663269151563779,دان ڤيليه سنديري سيمڤن برحد,PRED
1937-03-05_1191_39,ددالمڽ اي مڽبوتکن ياءيت تياڤ2,ددالمڽ اي مڽبوتکن ياءيت تياڤ2,0.9859299020136346,ددالمڽ اي مڽبوتکن ياءيت تياڤ2,PRED
1938-11-29_1267_36,ايت کڤد اورڠ اسيڠ يڠ,ايت کڤد اورڠ اسيڠ يڠ,0.9959574905380887,ايت کڤد اورڠ اسيڠ يڠ,PRED
1938-11-30_1623_17,.تانه ايت اکن هابيس لڠسوڠ,تانه ايت اکن هابيس لڠسوڠ,0.9932090490502682,تانه ايت اکن هابيس لڠسوڠ,PRED
1933-12-09_2799_22,حاکيم: اوق اد تيدق ڤوکول,حاکيم اوق اد تيدق ڤوکول,0.9959703215307267,حاکيم اوق اد تيدق ڤوکول,PRED
1933-05-03_638_10,ايت. اورڠ2 کباڽقکنڽ برهارڤ درڤد,ايت اورڠ2 کباڽ قکنڽ برهارڤ درقد,0.9983138541155122,ايت اورڠ2 کباڽ قکنڽ برهارڤ درقد,PRED
1937-11-05_773_28,لاءين دان بوکن کڤد اومت,لاءين دان بوکن کڤد اومت,0.9938239225337011,لاءين دان بوکن کڤد اومت,PRED
1933-06-27_2686_3,اين اتاو ڤسن دڠن جالن,اين اتاو ڤسن دڠن جالن,0.9940248820887856,اين اتاو ڤسن دڠن جالن,PRED
1936-12-21_974_105,ايت سنتياس دڤاکاي. دليل يڠ,ايت سنتياس دڤاکااي دليل يڠ,0.9932065681839342,ايت سنتياس دڤاکااي دليل يڠ,PRED
1933-07-21_1551_27,برماچم2 فيشن سليڤر2 ڤرمڤوان برتکت,برماچم2 فيشن سليڤر2 ڤرمفوان برتکت,0.9987335943813839,برماچم2 فيشن سليڤر2 ڤرمفوان برتکت,PRED
1939-05-17_1649_8,ورتاون “راج يڠ كدوا” تراوتامڽ,ورتاون راج يڠ کدوا تراوتامڽ,0.9822507480455512,ورتاون راج يڠ کدوا تراوتامڽ,PRED
1933-07-27_2458_35,کڤد عالم کظاليمن2 اورڠ2 چينا,کڤد عالم کظاليمن2 اورڠ2 چينا,0.997481732751526,کڤد عالم کظاليمن2 اورڠ2 چينا,PRED
1933-07-04_757_39,دڠن برلاءين2 سام سکالي اکن,دڠن برلاءين2 سام سکالي اکن,0.9713752575187754,دڠن برلاءين2 سام سکالي اکن,PRED
1933-12-09_2792_30,ݢورو ڤڠاکڤ. دان بينتڠ2 باݢي,ݢورو ڤڠاکڤ دان بينتڠ2 ياݢي,0.8957940368363481,ݢورو ڤڠاکڤ دان بينتڠ2 ياݢي,PRED
1939-05-23_944_44,يڠ برکتڠݢوڠن دان اوليه راج,يڠ بوكتڠݢوڠن دان اوليه راج,0.8014813900516277,يڠ بوكتڠݢوڠن دان اوليه راج,PRED
1941-01-03_885_18,يڠ دکاتاکن تله کچورين دري,يڠ دکاتاکن تله کچورين دري,0.9985458144173421,يڠ دکاتاکن تله کچورين دري,PRED
1937-12-09_1434_1,تله سمڤورنا باڠوننڽ ايت اياله,تله سمڤورنا باڠوننڽ ايت اياله,0.9963320576239477,تله سمڤورنا باڠوننڽ ايت اياله,PRED
1937-02-27_2127_4,"اد هرتا سڤرتي واڠ, کايو",اد هرتا سڤرتي واڠ کايو,0.9964335926544732,اد هرتا سڤرتي واڠ کايو,PRED
1940-04-05_1034_43,دکلوارکن زکاةڽ سباڽق 17 ليم,دکلوارکن زکاةڽ سباڽق 17 ليم,0.998190989727969,دکلوارکن زکاةڽ سباڽق 17 ليم,PRED
1933-07-29_125_4,",د دالم ڤرکارا مولس ڤروت",د دالم ڤرکارا مولس ڤروت,0.9375419071261926,د دالم ڤرکارا مولس ڤروت,PRED
1940-10-24_1837_22,سوءال ايت دمکين بوڽيڽ. اد,سوءال ايت دمکين يوڽيڽ اد,0.8270656051411559,سوءال ايت دمکين يوڽيڽ اد,PRED
1937-10-15_1163_18,ايت برمعنا ماءنسي مموهون کڤد,ايت برمعنا ماءنسي مموهون کڤد,0.772062249214482,ايت برمعنا ماءنسي مموهون کڤد,PRED
1933-04-25_1019_5,لومبوڠ بيجيه سرتا برتمبه2 حاصيل,لومبوڠ بيجيه سرتا برتمبه2 حاصيل,0.8299448173911119,لومبوڠ بيجيه سرتا برتمبه2 حاصيل,PRED
1933-07-29_109_35,کأونتوڠن دان مصلحت کيت دمکين,کأونتوڠن دان مصلحت کيت دمکين,0.9957886788653637,کأونتوڠن دان مصلحت کيت دمکين,PRED
1933-05-05_1217_29,باندر ايت ڤد 13 هاري,ياندر ايت ڤد13 هاري,0.9841978744265629,ياندر ايت ڤد13 هاري,PRED
1933-04-28_1230_11,مريک يت تله ددڤتي سله,مريک بيت تله ددڤتي سله,0.9601462481716826,مريک بيت تله ددڤتي سله,PRED
1940-12-06_263_42,دايندونيسيا. هيڠݢ 10 مي 1940,دايندونيسيا هيڠݢ 10 مي 1940,0.9529504000457533,دايندونيسيا هيڠݢ 10 مي 1940,PRED
1933-12-08_2421_21,يرق ------------------- بڠلو يڠ مه,يرق ــــــــــــــــــــ بڠلو يڠ مه,0.5498479215280001,يرق ------------------- بڠلو يڠ مه,GT
1937-10-22_1398_35,بوليه جادي بهاوا سبهاݢين درڤد,بوليه جادي بهاوا صبهاݢين درڤد,0.9859484070593343,بوليه جادي بهاوا صبهاݢين درڤد,PRED
1940-10-26_1284_5,برکواس مڠهياس ديريڽ ايت ڤرݢاءولنڽ,برکواس مڠهياس ديريڽ ايت ڤرݢاءولنڽ,0.9965023422569502,برکواس مڠهياس ديريڽ ايت ڤرݢاءولنڽ,PRED
1933-05-02_234_20,سي واريث يڠ لاکيڽ ايت,سي واريث يڠ لاکيڽ ايت,0.9485368163234487,سي واريث يڠ لاکيڽ ايت,PRED
1941-01-03_881_52,برکهندقکن ميڽق. د سن سيني,برکهندقکن ميڽق د سن سيني,0.9970191738898602,برکهندقکن ميڽق د سن سيني,PRED
1941-02-05_936_18,واكيل2 سݢالا نݢري2 يڠ تله,واکيل2 سݢالا نݢري2 يڠ تله,0.9994799749009706,واکيل2 سݢالا نݢري2 يڠ تله,PRED
1933-12-09_2799_14,محکمه” _________________________________ حاکيم: سياڤا نام,محکمه  حاکيم سياڤا نام,0.8574633569276248,محکمه  حاکيم سياڤا نام,PRED
1933-04-25_1019_32,نݢري2 يڠ برسکوتو ايت يڠ,نݢري2 يڠ برسکوتو ايت يڠ,0.996045859158174,نݢري2 يڠ برسکوتو ايت يڠ,PRED
1936-11-24_2071_26,تتکالا سقسي ممبري امرن يڠ,تتكالا سقسي مMBEDري امرن يڠ,0.9040275441654165,تتكالا سقسي مMBEDري امرن يڠ,PRED
1933-05-02_237_9,منجادي ساتو كبرتن كڤد ديري,منجادي ساتو کبرتن کڤد ديري,0.9906194831483178,منجادي ساتو کبرتن کڤد ديري,PRED
1941-01-08_819_25,لبيه درڤد 400 اورڠ ڤندو,لبيه درڤد 400 اورڠ ڤندو,0.9862514452538584,لبيه درڤد 400 اورڠ ڤندو,PRED
1939-09-01_1384_45,"ملايا, دڠن قهندق دان مصليحت",ملايا دڠن قهندق دان مصليحت,0.9986316328670097,ملايا دڠن قهندق دان مصليحت,PRED
1933-06-27_2679_8,دالم منتڤکن کلاکين2 دان ڤهلاون,دالم منتڤکن کلاکين2 دان ڤهلاون,0.9313804838375853,دالم منتڤکن کلاکين2 دان ڤهلاون,PRED
1933-07-11_2246_32,يڠ تاجم جادي سمواڽ ايت,يڠ تاجم جادي سمواڽ ايت,0.9992234792075929,يڠ تاجم جادي سمواڽ ايت,PRED
1937-11-10_2237_11,اوليه سأورڠ ڤڠهولو. دان كالاو,اوليه سأورڠ ڤڠهولو دان کالاو,0.978217486871299,اوليه سأورڠ ڤڠهولو دان کالاو,PRED
1937-10-25_348_8,ڤلواڠ اين سيلاله داتڠ کرومه,ڤلواڠ اين سيلاله داتڠ کرومه,0.9736190991194305,ڤلواڠ اين سيلاله داتڠ کرومه,PRED
1939-05-17_1649_4,ملي سوڤي ممبوڠ حروف عرب,ملي سوڤي ممبوڠ حروف عرب,0.9879991529000196,ملي سوڤي ممبوڠ حروف عرب,PRED
1936-10-17_700_24,",روتن, کلاڤ کريڠ, ڤينڠ کريڠ",روتن کلاف كريڠ ڤينڠ كريڠ,0.8895501941106506,روتن کلاف كريڠ ڤينڠ كريڠ,PRED
1940-09-05_1637_7,کران ماسق مماسق اياڽ منداتڠکن,کران ماسق  مماسق اياڽ منداتڠکن,0.9969760298819964,کران ماسق  مماسق اياڽ منداتڠکن,PRED
1937-03-09_984_10,ڤد مذهب ملکي يڠ مڠاتاکن,ڤد مذهب ملکي يڠ مڠاتاکن,0.9733666257202219,ڤد مذهب ملکي يڠ مڠاتاکن,PRED
1940-12-30_147_27,اتس سوءال يڠ ترسبوت دأتس,اتس سوءال يڠ ترسبوت دأتس,0.997671070209644,اتس سوءال يڠ ترسبوت دأتس,PRED
1938-09-11_1584_2,ڤنتاي اکو برديري سمبيل اکو,ڤنتاي اکو یرديري سمبيل اکو,0.9794236214274488,ڤنتاي اکو یرديري سمبيل اکو,PRED
1933-07-15_1064_0,کيريمن سورت2. -------------------------------- دڠن کريتا,کيريمن سورت2  دڠن کريتا,0.9850024578848993,کيريمن سورت2  دڠن کريتا,PRED
1933-03-08_2600_0,اهلي برتومبوق----------------------- اهلي برتومبوق يڠ,اهلي برتومبوق----------------------------- اهلي برتومبوق يڠ,0.9537808759255941,اهلي برتومبوق----------------------------- اهلي برتومبوق يڠ,PRED
1940-10-15_2398_22,مک کافيرله اورڠ يڠ ممباݢوسکنڽ,مک کافيرله اورڠ يڠ ممباݢوسکنڽ,0.9958253117530069,مک کافيرله اورڠ يڠ ممباݢوسکنڽ,PRED
1937-03-25_909_31,___________________________ باچله ورتا ملايا برباݢاي2, baچله ورتا ملايا برباݢاي2,0.8165508494275423, baچله ورتا ملايا برباݢاي2,PRED
1940-09-11_1139_40,علمو يڠ قوات منونجوقکن کبنرن,علمو يڠ قوات منونجوقکن کبنرن,0.993457565116236,علمو يڠ قوات منونجوقکن کبنرن,PRED
1933-02-28_2289_3,اورڠ چينا يڠ اد برسنجاتاکن,اورڠ جينا يڠ اد برصنجاتاکن,0.8480714646733785,اورڠ جينا يڠ اد برصنجاتاکن,PRED
1933-03-08_2604_14,.اکن برسکوتو دالم ڤرهيمڤونن اين,اکن برسکوتو دالم ڤرهيمڤونن اين,0.975274594834423,اکن برسکوتو دالم ڤرهيمڤونن اين,PRED
1933-05-10_1689_8,يڠ منداتڠکن کصيحتن ايت. تنتوله,يڠ منداتڠکن کصيحتن ايت تنتوله,0.997654982423527,يڠ منداتڠکن کصيحتن ايت تنتوله,PRED
1933-03-08_2573_12,برباݢي2 بهاݢين برهيدوف دالم چمڤورن,برباݢي2 بهاݢين برهيدوف دالم چمڤورن,0.9884925698055024,برباݢي2 بهاݢين برهيدوف دالم چمڤورن,PRED
1940-09-03_2148_8,باڽق درڤد علماء’ مسير يڠ,باڽق درڤد علماء مسيدي يڠ,0.8738779889730113,باڽق درڤد علماء مسيدي يڠ,PRED
1933-04-25_1026_21,مصلحت ايت هندقله دجالنکن دڠن,مصلحت ايت هندقله دجالنکن دڠن,0.9905665277840957,مصلحت ايت هندقله دجالنکن دڠن,PRED
1940-12-06_263_57,منجدي بوقتي بهو سوسونن وندڠ2,منجدي بوقتي بهو سوسونن وندڠ2,0.9333514511786856,منجدي بوقتي بهو سوسونن وندڠ2,PRED
1939-03-02_2181_15,هيڠݢ سمڤاي وقتو مينوم تيه,هيڠݢ سمڤاي وقتو مينوم تيه,0.9975493862453912,هيڠݢ سمڤاي وقتو مينوم تيه,PRED
1937-03-06_1913_10,چوکوڤ عمورڽ مک فرينتهن کراجاءنڽ,جوكوڤ عمورڽ مک فرينتهن کرأجاءنڽ,0.7956844903546801,چوکوڤ عمورڽ مک فرينتهن کراجاءنڽ,GT
1940-09-25_1602_9,اياله ديريڽ سڤرتي ڤد موک,اياله ديريڽ سڤرتي ڤد موک,0.9516818106800935,اياله ديريڽ سڤرتي ڤد موک,PRED
1933-06-30_2534_25,بوليه جادي دان ماجو سکيراڽ,بوليه جادي دان ماجو سکيراڽ,0.9905562710845219,بوليه جادي دان ماجو سکيراڽ,PRED
1940-09-12_1867_54,راج2 يڠ ممرينته کمودين درڤد,راج2 يڠ ممرينته کمودين درڤد,0.9976492157828559,راج2 يڠ ممرينته کمودين درڤد,PRED
1937-04-05_2161_40,يڠ دأمبيل درڤدڽ. اداڤون معنا2,يڠ دأمبيل درڤدڽ اداڤون معنا2,0.9813879470159097,يڠ دأمبيل درڤدڽ اداڤون معنا2,PRED
1933-04-22_463_90,چونتوه د اتس سديا برجاهيت,چونتوه د اتس سديا برجاهيت,0.9985606833522646,چونتوه د اتس سديا برجاهيت,PRED
1941-02-05_936_5,برديري دان برتاڤق مک نݢري,برديري دان برتاڤق مک نݢري,0.960349011336316,برديري دان برتاڤق مک نݢري,PRED
1936-11-24_2074_58,‏$1.50 ساتو دسلوروه سمننجوڠ تانه,150 ساتو دسلوروه سمنجوڠ تانه,0.9988793947645653,150 ساتو دسلوروه سمنجوڠ تانه,PRED
