ground_truth,prediction,confidence
"""افکه کسن بالسڽ دان افکه","""Kesn Bashen dan eKse""",0.4036661941410838
جمو جاق.,جمو جاق.,0.7778773792593362
شعر٢ڽ، حکاية الف ليلة باݢي,شعر٢ن، حکاية الف ليلة باݢي,0.9684515610000599
سمى احمد اياليت انى,سمى احمد اياليت اني,0.7502361656817633
سودارا٢ يڠترحرمت:ـ يڠسماچم,سودارا يڠتر حرمت: - يڠساچم,0.6845962477764145
اڤبل هيلڠ کهنچيڠن ايت مک,اقبل هيلڠ کهنچڠن ايت مك,0.8412514801634904
توان يڠتراوتام کران کمليأن يڠتله,توان يڠتراواتم کران کمليأن يڠتله,0.8157939292329133
کبيليق مشوارت مک يڠبرحرمة ڤمڠکو,کبيليق. شوارت مك يڠبر حرمة نمڠکو,0.852119007302404
سجق ببراف تاهون يڠ لالو، کتيک کراجأن,сжч бирраф тاهон يڠ لالو. Кتيك راجان,0.6049234242546672
خديجه صديق (فاس - دوڠرن),ديديك صديق (فاس - دومنن),0.5742504906413678
جݢأن ڤد سسبواه کمڤوڠ يڠ کچيل,جݢان ڤد سبواه کمفوڠ يڠ کجال,0.864789071256965
سکارڠ دالم فنجارا کوچيڠ يڠ,کارڠ دالم سڠارا کويجنڠ,0.5559749670647695
سهاج - تيدق مڠݢالقکن فيکر سنديري,سهاج - تيدق مڠݢالقکن فيکر سنديري,0.9076243943658667
لاکوڽ داڤت مموجق اورڠ٢ يڠبرکبون,لاکون دافت مموچ اورڠ ٢ يڠبرکبون,0.8133304367151358
هيناله بڠسا دسببکن جرت,هيناله بڠسا دسبيکن جرت,0.8750375630063809
سکالي دان يڠڤرتام جنسڽ يڠ,سکالي دان يڠفرتام جنسڽ يڠ,0.8797150295350608
اکو سده ڽتاکن کفد اڠکو,اکو سذه ڽتاکن کفد اڠکر,0.8330772933502905
تأ سڠک لاݢي دنستا اورڠ,تأ سڠك لاݢي دنستا اورڠ,0.93793201127248
فرسکتوان شرعيه دان اي تيدق,فرسکتوان شرعيه دان اي تيدق,0.9214479159591807
حقيقة اين هندقله دسداري اوله سلوره فوم وانيتا کران قوم وانيتاله يڠ مروفاکن ساتو باريسن يڠ قواة,کيفية اين هندقله دسداري اوله سلوره فوم وانيتا کران تـوم وانيتاله يڠ مروفاکن ساتو باريسن يڠ تواة,0.8515482761784698
بهکن دسلوره تانه ملايو.,بهکن دسلوره تانه ملايو. ,0.8442716174263509
يکرکن بݢيمان جالنڽ يڠتر لبه مناسبه,يبرکن بݢiman jalnڽ يڠترلبه مناسبه,0.625471735721209
رومه اين ايله تمباهن يڠ بهارو,رومه اين ايله تمباهن يڠ بهارو,0.9165633275755003
سمنتارا ايت اد سديکية,ستنتر ايت اد سديكية,0.6416882169981633
کراجأن. مڠݢهفون دمنتاکن اوله,کراجأن. مڠݢهفون دمنتاکن اوله ,0.9183857308630742
فاسر ݢون موتوربس کفوڽأنڽ کران,داسر اکون موتور بس کفوڽأنڽ کران,0.8925816122339051
"نݢري اين، دان ""حاصيلڽ","تکري اين، دان ""حاصبن",0.5770203557849658
ديوان ايت ممبينچڠکن,ديوان ايت ممبڠکن,0.7917360139561536
فرتانين، 6.45 بچان قران، 7,فراتاس: 6.43 بيجن ترلان: 7,0.6035773795114859
ڠمليا دان حديث٢ جنجوڠن يڠ,مڠليا دان حديث٢ جنجوڠن يڠ,0.8414039118334712
موک 5,موك 5,0.9709060956956634
سيڠافورا، ملاک، سرمبن، کوالا لمفور،,سيڠافورا، ملاك، سرمبن، کوالا لمفور. ,0.9027283404031333
ترياق ببراف اورڠ فرواکيلن.,نائيل بيرف اورڠ فورباکين,0.5319753506543735
بليو کمدين براقرار اکن,مليك مدين سراڤار انکن,0.49137134993284004
لمفور. نصيب بايک اورڠ٢ تومفاڠن,لمفور. نصيب بايک اورڠ٢ نومفاڠن,0.8448253849153115
سيڠافورا 15 اوݢسة - امنو,مڠفأ فورا 15 ون سر - 胺 ,0.48742303465782005
هرݢ داݢڠن,هرک داکفن,0.7958078358183108
ترکادڠ٢ تيڤوداڤت کتارا,ترکادڠ٢ تيڤود دافت کتارا,0.9379796535615236
مميکول کسلاهن اورڠ لاين،, مڠکول کسلاهن اورڠ لاين ,0.7750610608408373
اري کراجأن تله مڠهنتر 4 اورڠ يڠ,ماري کراجأن تله مئهنتر 4 اورڠ يڠ,0.8934317501607847
نايک تڠݢا سڤرت سئورڠ مودا.,;ايك تڠݢا سڤرت بسئورڠ مودا,0.8077772118623155
ککوسوتن٢ عالم دان سسياڽ,ککويس -وتن٢ عالم دان سسيڽ,0.8163215947151109
افکل ددڠراوله هرتاون ايت بهوا,افکل ددڠراوله هرتاون ايت بهوا,0.9496182401774333
کڤلا سوک هاتيڽ دان سنڠ ڤراسأنڽ,کڤلا سوک هاتيڽ دان سنڠ قراسأنڽ,0.734512428173086
ايسيڽ چريتا٢ اورڠ ڤوتيه⹁ عرب,ايسين چريتا٢ اورڠفوتيه، عرب,0.9279289326921435
ترديري دري تيݢ اورڠ ساج،,تزرديري دري تيڠ اورڠ ساج,0.7904414256942225
ايت تياد مڠواتکن اوله کران بودق,ايت تياد مڠواتکن اوله کران بودق,0.9847970034253118
امان دان معمور سلملماڽ.,مان دن معمور سلهمان. ,0.6737612473159165
دسان ڤول اکن دباڠونکن تمڤت٢,دسان قول اکن دباڠونکن تمڤت٢,0.8658025653770609
جوݢ تله دجمڤأي دان دسلامتکن,جوݢ تله دجفأي دان دسلامتن,0.7876794783192177
ملينکن دجال٢ يڠ ساڠة فمبوهڠ,ملينکن دجال٢ يڠ ساڠه ڤمبوڠ,0.8514081960490575
سيڠاڤورا 13 اوݢسة –,سيفيفونا 13 اوكس -,0.7083543184907994
شعير دکارڠ بوکن مڠات,شعير دکارڠ بوکن مڠات,0.9144112566659844
رڠک کاسرڽ,رڠك کاسرڽ,0.8583618026233067
تله سوسوت سباڽق 5 ڤاون 4,تله سوسوت سباڽق 5 فاون 4,0.8838147042001027
مک دانتارا فرمفوان٢ يڠتله تيبا,مك دانتارا فرمفوان٢ يڠتله تيبا,0.9155345441758644
کيمبريج سلون سفوله - امفة بهارو,کمبريج سلون سفوله امفة بهارو,0.8471674482552115
ڤرايڠاتن.,ڤرايڠاتن. ,0.8886542722939519
5. ول اصل فرسوراتن ملايو -,5. اصول اصل فرسوراتن ملايو -,0.9575227473343658
چينا کوميونيسة دري تيبية.,منا کوموليسة دري تيبنة. ,0.6463674218954584
اين اياله انتارا ساله ساتو,بين أيلا التارى سالو ساتو,0.5951042138862551
داتوء بندر فولو فينڠ أ. اوي ثيام,وارتى بند فولو نيفخ.أوتي ليم,0.40850099082757213
ݢته ݢريد ساتو سفتمبر 92,کنته گرید ساتو سفتبر 92,0.7807912332982037
سفاي بوله اي مندافة بارڠ٢ منته,سفاي بوله اي مندافة بارڠ٢ منته,0.9646699329497163
دراسأي اوله مصر ڤد سوات وقت يڠ,دراسأي اوله . صرقد سوات وقت بڠ,0.8254732346153428
رساله٢، مجله٢ اتو بوکو٢,رسال٢، مجه٢ انو بوكو,0.6499905233147497
تفسيرڽ ادله نام لاکي٢ يڠبرتاڽ ايت,تفسيرن ادله نام لاکي٢ يڠبرنائ ايت,0.9020039787156929
ايروفه، جادي سوات چاوڠن علم،,يروفه، جادي سوات چاوڠن علم، ,0.9022331078687232
7.40 بريتا دان فراستيوا،,7.4 سرتين دان فرسنتا.,0.6982730790680195
دڠن اݢام مجوسي دان دشام ميره,'دڠن اکام مجوسي دان دشام ميره',0.8178103491655078
سجوق کيمن دان ڤد موسيم ڤانس,تسبوق کيمن دان قد موسيم فانس,0.8013881830046832
ايت ايله مسجد أهل السنه يڠتله,ايت ايله مسجد أهل السنة يڠتله,0.8884672535999991
"برهوبڠ دڠن رنچاڠن ""اين",برهوب دنن ولنجن,0.45456204005485784
ملاک نمفقڽ برستوجو سفاي,مڠن برستوج سفاي,0.6445245218881145
.جوݢ برلاکو دسيڠافورا.,مرك براکو دسفونورا. ,0.6384040941127089
دتفي سوڠي، يڠ دولو هاڽ,نفي سوڠي، يڠ دولو مالن,0.5598841283764374
عمرڽ يڠتله دهابسکنڽ دالم برخدمة,عمرڽ يڠتله دهابسکنڽ دالم برخدة,0.8577236365265576
دنيا بݢيمان اکو فندڠکن فرتنديڠن,دني بݢيمان اكو فندڠکن فرتديڠ,0.8515498135155576
کران فد ميدان سورة٢ دان کارڠن٢,کران فد ميدان سورة٢ دان کارڠن٢,0.9529664812484085
سئورڠ چينا فاجق ݢادي مڽتاکن بارڠ,سئورڠ چينا فاجق ݢادي مبتاکن بارڠ,0.9124088131711763
کادأن محمد ايت رسول درڤد,کادأن محمد ايت رسول درڤد,0.900039372182481
دسقسي دان دتتفکن اوله حاکم٢,دسوقي دان دتنفکن اوله حاکم٢,0.8041454776393961
ادفون عيم فن زيلند ايت اياله,ادفون عيم فن زيلند ايت اياله,0.9675059023008119
دنيا اين يأيت ݢرية بريتن، فرانس،,دنيا اين يأيت کرية بريتن، فرانس، ,0.9654845432895925
جادي فناور ايت جادي راچون درايت,جادي فناور ايت جادي راجون درايت,0.9668980281701317
بربيسيق٢له فڠاديل٢ ايت دان,بربيسيق٢له فڠاديل٢ ايت دان,0.9319751969958108
سهڠݢ اين بلوم سلسي لاݢي.,مڠهڠ اين بلس سلاکي. ,0.667515460809947
لاݢي ممبرسيهکن ميجا ماکن ايت:,لاݢي ممبر سيهکن ميجا ماکن ايت:,0.8980255355909336
تمڤت مناري.,تمڤت مناري.,0.7809955621957321
ساتو ڤرکارا دالور ݢاجه دالم مان اي,ساتو فرکارا دالور ݢاه دالممان اي,0.8746229867448563
حاج محمد نور بن جمعة، اهل,حاج محمد نور بن جمعة.,0.8104961803682739
دخياميه دان تله دوقفکنڽ کران,د'خیمیه دان تله دوقفکنڽ کران,0.8136415936808301
توان،,توان,0.8269810083147554
- حروف رومي - سموا فنجامن -,- روف رومي - سموا فنجامن  ,0.7964547917326968
بهارو اين منيرو چارا ايروفه جوݢ,بهرواين منيرو چارا ايروفه حوك ,0.7746961615276827
کات فلاطون ڤنديت يونان.,کات فلاطون قنديت يونان. ,0.8889445239442628
اصل تصوف دان سبسر٢ علماء ايله,أصل تصرف دان سبسر٢ علماء ايله,0.8774061333234967
جاديله اڠکو مک جاديله اي.,جاديله اڠکو مك جاديله اي. ,0.8829662047431296
ثأيلند مڠمبيل کسمفاتن,نالند مڠمبل کسفاڽ,0.704166605615372
دسببکن کنا فچاهن بوتل ايت,دسيبکن کنا فچهن بوتل ايت,0.857416066727615
جݢأنڽ دان فرسيداڠن٢ اية سنديريله,جݢأنڽ دان فرسيداڠ٢ اية سنديرله,0.7347923040616788
ايت جادي اونتوق اورڠ٢ يهودي ايله,ايت جادي اونتوق اورڠ٢ يهودي ايله,0.9631837308861191
دهداڤن سهاج درڤد بڠسا٢ لاين اتو,دهدافن سهاج درڤد بڠسا؟ لايناتو,0.9053243221952938
بالسن منيڤو بݢيتو ادله,بالسن منيڤو بݢيتو ادله,0.9197593848673647
4. کدودقکن علم فرسوراتن فد اورڠ٢,4. کدودقکن علمفرسوراتن فد اورڠ٢,0.8506169446858853
سمبيل برسيکف مپوکڠ ݢاݢاسن,سميت برسبک مبوڠ کاسن,0.5345265457846761
چريتا٢ يڠدانورکن سچارا لاکونن,چريتا٢ يڠدانورکن سچارا لاکونن,0.9716786758580301
چيءݢو احمد بن ميدون، سئورڠ,Jelko Ahd Ben Mion. Sutorog,0.39643578643152205
ميترو ݢولدوين ماير يڠدنماکن,ميترو کولدوين ماير يڠدنماکن,0.8412881378602517
اودڠ دسباليک باتو.,الدوق دسبالياك تايو.,0.4623840579354765
دوقت ايت ادله اݢام مسيحي,دوقت ايت ادله اکام مسيحي,0.8953539474940984
کيت مرکئيت دان کيت جاديکن,كيت مركئيت دان کيت جاديکن,0.8505402932840284
23. سمنجق لبه کورڠ 40 تاهون,23. سمنجق لبه کورڠ 40 تاهون,0.9453083744690128
تأهضم,تأهضم,0.9284492945335481
تله دڤرتنجوقکن سڤرت,تله دڤرتنجرڤکن سڤرت,0.7998206909755717
فارليمنه مليسيا,فارلين منس,0.41650203365179306
الياس تله مڠوچڤکن تريما کاسيه کڤد,الياس تله مڠوچڤکن ترباکاسيه کفد,0.7166806854805701
تمبڠ کڤل.,تمڠ کڤل.,0.8869238644732843
اومني بس کمفني لميتيد دان موتور,اومني بس کمفني لميتيد دان موتور,0.8898809206357893
ملايو يڠ فندي ممباچ دان منوليس ملايو,ملايو يڠ فندي ممباچ دان منوليس ملايو,0.9731297425873142
اکن مڠادکن ببراف رافة عموم,اکن مکن بيراف رفه عم,0.43238767431361846
توان٢ اکن مڠتهوي بݢيمان فمرنتاهن٢ اسلام دان بݢيمان,وان ٢ ان مڠتهي بيكيمان فنرتاهن٢ اسلام دان بيكيمان,0.7233242813944263
فولو فينڠ 16 اوݢسة ــ,الول فيڠ 16 اوکس -,0.4682361473099524
100.000.000 فاون اوستراليا.,100.000.000 فاون اوستراليا.,0.9112073806998596
تتکل اي تله سمبهيڠ جمعت کمدين,تتکل اي تله سمبهڠ جميت کمدين,0.8611206334366286
سفرت فڠارڠ٢ اتو فڽالين٢ زمان,سفرت فڠارڠ٢ اتو فالين٢ زمان,0.8066847609627642
لمبت لاون کلق رهسيا کامو دبوک اوله,لمبت لاون کلق رهسيا کامو دبوك اوله ,0.8647940296826382
احمد منافيکن اي اد مڽبوت براف,احمد منافيکن اي اد ميبوت براف,0.9053494311611809
اخبار٢ هابيس دفتاکن دڠن ݢمبر٢,الخبر٢ هابيس دفناکن دڠن اکمبر٢,0.8454204085249755
مارچ، 2.00 برهنتي ريحة،,2.00 بورنميزي ريشة.,0.48096003412425725
17. کارڠن٢ چريتا دان لاينڽ٢ يڠ,17. کارڠن٢ چريتا دان لاينڽ٢ يڠ,0.9384768139096039
دان منيرو سهاج - ݢاي کارڠنڽ عرب,دان منيروسهاج - اي کارڠن عرب  ,0.7529135320610076
برسڠک اي رسول الله دان دالم ساتو,برسڠک اي رسول الله دان دالم سانو,0.8674851952130125
(٤) مڠاسيه مريکئيت اکن دنيا دان لوڤ,(4) مڠاسيه مريكئيت اکن دنيا دان لوڤ,0.9121686046092538
اين کيت ماسيه جاوه کتيڠݢالن,الن كيت ماسيه جاروت تيڠݢل,0.5360059197123943
يڠترلالو چنتيق.,بفترلاو جنتيڤ.,0.5818248090839377
بناسله ديري دمرک الله,بناسله ديري دمرك الله,0.9460579634533413
ڤرهنتين موتر کر٢ مک يڠددعوا تله ممڠݢيلڽ,فرهنتين موتر کر٢ مك يڠددعوا تله مڠکيلن ,0.8681776125955772
يأيت فنولڠ ستيأوسها کحرمة.,التولع سماوة سها,0.3715847391025445
لمفو فيچية يڠتله ڽات,لمفو فيجية يغتله ڽات,0.8316465649249547
$15.00,$15.00,0.999538855657564
بندر راي سيڠافورا، کران,کران سيڤافورا راي.,0.6778498199235804
اي تله دڤرانقکن دالور ݢاجه,اي تله دڤرانڤکن دالور گݢه,0.8651544464717135
جرمني، ايتالي دان امريکا فرسکتوان,جرمني، ايتالي دان امريکا فرسکتوان,0.895157205530758
.سئورڠ ڤرمفوان سوسوة 28 ڤاونبدنڽ.,بستورڠ ڤرمڤوان سوسوة 28 قانون بدنن.,0.784887026610221
برساتو تيدق فون تردافة,و سون تيڠق فون تردافه,0.6664861938481229
27 مي 1938,1938مي 27,0.8545816304007576
چريتا٢ يڠ مشهور دالم سنسکرية,چريتا٢ يڠ مشهور دالم سنسکرية,0.9044597706276022
نينيق سکلين قبيله٢ اين دان ترماسوق,تينيق سکلين قبيله٢ اين دان ترماسوق,0.8876913908203696
کچرݢاسن مريک دلاوت٢ يڠ,کچرکاسن مريك دلاوت٢ يڠ,0.8724193816034586
جک ترلڤس باتڠ ليهيرڽ سهاج.,جك ترلڤس باتڠ ليهيرڽ سهاج. ,0.8379155267372101
مالم اين,مالم اين,0.8516959327653816
فرتڠکارن اݢام دان لاينڽ يڠتياد فرنه,فرڠکارن اݢام دان لاينڽ يڠتياد فرنه,0.9641266941384745
منجاوهکن بهيا تيڤو برسڠت,منجاوهکن بهيا تيڤو برسڠت,0.9836616432639053
کفرچيان کأݢمأن اݢام اسلام اݢر دکاجي سمولا اتو دشورکن سفاي دحرامکن.,فرڠچين کاکمنا اکام اسلام اکر دکاجي سمو لاو دشورکن سفاي دحرامکن.,0.7688535902558652
انق ملاک دسيڠافورا,اقت ملال دسفافون,0.7055985166752198
دان حديث اين تله دروايتکن,دان حديث اين تله دروايتکن,0.9192980443140594
لاکونن,### 11.11,0.25444602831721924
دان براورا٢ دڠن منتري٢ مک شورڽ,دان براورا٢ دڠن منتري٢ مك شورڽ,0.9597964118710369
مالم اين دان مالم ايسوق.,مليم اين دان مالم ايسوق.,0.7141057152642464
فرمفوان يڠ چنتيق.,فرموان يڠ جنتيق. ,0.8630525552359525
يڠتربيلڠ بوکن سهاج دسيڠافورا,يڠتربلاڠ بوکن سهاج دسيڠافورا,0.8436974011776178
جاتي اد ببراف بواه سهاج - سجاره,جاتي اد ببراف بواه سهاج - سجاره,0.9279171379210782
